sentence_key	status	src_count	gold_count
ajo liwatece ja iwagadi.	NO_SENTENCE_MATCH		
ajo liwatece etadi weiigi.	NO_SENTENCE_MATCH		
ajo niwatece etadi digoida.	NO_SENTENCE_MATCH		
niwatece iwagadi.	NO_SENTENCE_MATCH		
niwatece etadi weiigi.	NO_SENTENCE_MATCH		
ajo niwatece ipegitege weiigi.	NO_SENTENCE_MATCH		
ligeladi maria agipegetege.	NO_SENTENCE_MATCH		
ica ligeladi ipegetege.	NO_SENTENCE_MATCH		
ica ligeladi ipegitegi.	NO_SENTENCE_MATCH		
ica loigi ijo niganigi ipegitegi ganigotga.	NO_SENTENCE_MATCH		
