source_tag	token_form	count
C	me@	29
NEG	aG@	28
VB	iwaGadi	26
PUNC	.	23
N$	liGeladi	17
D	ica	15
VB	idei	15
C	me	15
N$	libinienigi	14
N$	iGeladi	14
N	weiigi	13
	*T*	12
PRO	ee	11
N	wetiGa	11
D	ajo	10
VBAPL	ipegitegi	10
Q	eliodi	10
N	nigotaGa	9
N$	libinienaGa	9
N$	niwatece	8
N$	loojedi	8
D	@idi	8
WPRO	ane	7
VBAPL	ipegitege	6
NPR	Maria	6
N$	libinienigipi	6
D	ijo	6
N$	liwigo	6
N	iwaalo	6
T	ja	5
D	digoida	5
N$	looligi	5
N	naigi	5
N	napioi	5
VB	dapicoGo	5
PRO	Ee	5
DAPL	@anitaGa	5
N$	liwatece	4
VB	dapico	4
N$	Eyodi	4
C	daGa	4
N	akiidi	4
N$	nigotaGa	4
VBU	@dakake	4
VB	etee	4
N	waca	4
N$	lotiidi	4
VB	ninitibeci	4
D	NaGani	4
N$	iGonagi	4
N	okokodi	4
N$	ligetedi	4
N$	Godoigi	4
N	nigaanigawaanigi	4
N	niwatece	4
D	ijowa	4
VB	etadi	3
N$	niwigo	3
N	nioladi	3
WPRO	ane@	3
NPR	João	3
N	niganaGacanajo	3
VB	etidi	3
N$	lotaGa	3
DAPL	@initaGa	3
VBAPL	jipacaGataGagitiwaji	3
N$	lojedi	3
N$	lojetedi	3
N$	libiniena	3
D	NiGijo	3
N$	lomigo	3
D	@adi	3
N	niganigawanigi	3
VB	DapicoGo	3
D	naGani	3
N	wetiadi	3
VBAPL	eniteloco	3
D	nigidiwa	3
D	ina	3
VBAPL	jipegitege	3
D	niGijo	3
N$	lomiigo	3
D	ani	3
D	idiwa	3
NEG+D	aGica	3
N$	lideGegi	2
N$	lionigipi	2
Q	daGaxa	2
VBU	dakake	2
N	niweiigi	2
VB	@idininitebeci	2
D	@ee	2
N	niinikeGegi	2
D	niGidowa	2
N	etogo	2
VB	@iwaGadi	2
VB	@dakake	2
N	etogoli	2
ADJ	dakake	2
N	Iwaalo	2
N$	LotaGa	2
N$	Gadodawa	2
N	Etogo	2
N$	Gawenigi	2
N$	liwenigi	2
D	NiGida	2
N$	niwenigi	2
D	NaGajo	2
NPR	Pedilo	2
D	niGijoa	2
N$	lionaGa	2
N	dibixodi	2
VB	Ninitibeci	2
D	naGada	2
D	naGadi	2
N$	lodajo	2
N	niwigo	2
N	noGojedi	2
N$	lixagotaGaGa	2
VB	Ite	2
Q	@eliodi	2
VB	idinitibeci	2
VBAPL	@jipegitege	2
VB	@idejonaGa	2
N$	libiwe	2
N	niale	2
VB	ixagodi	2
N$	nakidi	2
VB	etini	2
N$	liwaGatena	2
D	niGida	2
D	naGajo	2
PRO	Eyo	2
N$	nigetedi	2
D	@ica	2
VB	@idedonaGa	2
N$	leonigipi	2
N$	ligeladi	2
N$	niweiigi	2
VBAPL	@ipegetege	1
VBAPL	ipegetege	1
N$	@lidi	1
N$	lidi	1
N$	loigipodi	1
N$	loigi	1
N	niganigi	1
N$	GanigotGa	1
N$	loligi	1
N$	Ganixoa	1
N$	nioxoa	1
N$	lodawa	1
ADJ	@napioi	1
D	@ijo	1
PRO$	naGajo	1
VBAPL	dowediteloco	1
N	naodigijedi	1
DAPL	@icawataGa	1
VBAPL	ipegitaGagi	1
VBAPL	@ipegitegi	1
N	Gatodi	1
VB	etijo	1
PRO	ida	1
D	ijotawece	1
N$	GanaginaGa	1
D	nGida	1
N	niwenigi	1
N$	napioi	1
N$	Niwatece	1
CONJ	codaa	1
PRO	akaami	1
PRO	oko	1
VB	dapikoGo	1
N$	IiGeladi	1
N	Etogoli	1
ADJ	@dakake	1
N$	Ganioxoa	1
CNEG+VBU	adakake	1
VB	Te	1
DAPL	@ijotaGa	1
VB	ideiticoaci	1
DAPL	@aditaGa	1
N	Iwaalepodi	1
D	NaGana	1
D	Ada	1
D	Ani	1
D	Adi	1
D	naGana	1
VB	@ninitibeci	1
VB	DapipocoGo	1
N	Ninitibigiwaji	1
N	lodawa	1
VB	@idei	1
N	dineigi	1
D	NiGinoa	1
D	NiGidoa	1
D	NiGidiwa	1
VB	ite	1
DAPL	@adataGa	1
DAPL	@idataGa	1
VB	@idinitibeci	1
VB	idiwaGadi	1
VBAPL	jipecaGataGagi	1
N	oko	1
VBAPL	jipecaGataGagitiwaji	1
N$	nelokodi	1
N	bijo	1
D	Nagada	1
N	bijotedi	1
D	Nigijoa	1
N$	lianaGa	1
D	NiGidi	1
DAPL	@eetaGa	1
N	Nigaanigawaanigi	1
N	ideloGole	1
VB	ideaGi	1
VB	ninitibeke	1
N$	GanaaginaGa	1
VB	noxilece	1
N$	lodejedi	1
VB	dakake	1
NPR	Pedro	1
D	Ijo	1
N	iwalepodi	1
ADV	daGaxa	1
N$	linikeGegi	1
N$	lapicaGa	1
N$	lapicaGigi	1
VB	ninitibigiwaji	1
D	nGijo	1
N$	lodowa	1
Q	@ica	1
D	niGidiwa	1
VB	ani	1
D	idowa	1
N	nigetedi	1
VB	eteyo	1
N$	inikeGegi	1
D	ee	1
VB	@dininitibeci	1
VBAPL	jipegitegi	1
VB	idiwaaGadi	1
VB	jigipegitege	1
VB	jigipegitegi	1
PRO	@ee	1
ADJ	@ewi	1
N$	iniKGigi	1
PRO	@eyo	1
N$	inikGigi	1
VBAPL	JipecaGataGagi	1
EV	one@	1
T	@jaGa	1
N$	lemé	1
N	biju	1
N	bejoli	1
Q	idiwa	1
D	idi	1
C	metaGa	1
