document_uid	reference	document_title	source_json	sentence_number	sentence_uid	text	text_por	sentence_status	struct_status	parsed_marker	token_count	pos_tagged_tokens	pos_coverage	token_levels	chunk_count	chunk_labels	chunk_levels	chunk_coverage	tree_reconstructable	tree_error	proto_conllu_rows	proto_conllu_with_head	proto_conllu_with_deprel	translations_present	token_glosses	tokens_with_splits	sentence_comments	break_markers
305b1d99-8900-44a4-99ef-2f43646f3f87	tale_03.txt	Iauti iauraete	6ab546820d7977bbad0e89e7.json	1	87bfd7ec-1915-4988-8317-d391a1ef40a2	Iauti iauraete	O jabuti e a onça				2	0	none	0	1	IP-MAT	0	root_only	no	TreeConstructionError: invalid chunk: {'i': 1, 'f': 2, 't': 'IP-MAT'}	2	0	0	1	0	0	0	1
305b1d99-8900-44a4-99ef-2f43646f3f87	tale_03.txt	Iauti iauraete	6ab546820d7977bbad0e89e7.json	2	b466dc66-a0b7-4f27-89de-3780bcc9f415	Iáutí oçacẽma: — Cẹ anãma itá!	Jabuti gritou: — Meus parentes!				6	0	none	0	1	IP-MAT	0	root_only	no	TreeConstructionError: invalid chunk: {'i': 1, 'f': 6, 't': 'IP-MAT'}	0	0	0	1	0	0	0	1
305b1d99-8900-44a4-99ef-2f43646f3f87	tale_03.txt	Iauti iauraete	6ab546820d7977bbad0e89e7.json	3	72bfd66a-ae2d-48e2-bf2a-3f2040c11539	Cẹ anãma itá, iúre!	Meus parentes, venham!				4	0	none	0	1	IP-MAT	0	root_only	no	TreeConstructionError: invalid chunk: {'i': 1, 'f': 4, 't': 'IP-MAT'}	0	0	0	1	0	0	0	1
305b1d99-8900-44a4-99ef-2f43646f3f87	tale_03.txt	Iauti iauraete	6ab546820d7977bbad0e89e7.json	4	23ff03ca-606f-4163-bd65-f4467060d512	Iauárẹtệ ocenõ, oçộ a kẹtệ, opuranú: — Mãnháta reçacẽma rẹikộ, Iauti?	A onça ouviu, foi lá para, perguntou: — O que tu gritando estás, jabuti?				11	0	none	0	1	IP-MAT	0	root_only	no	TreeConstructionError: invalid chunk: {'i': 1, 'f': 11, 't': 'IP-MAT'}	0	0	0	1	0	0	0	1
305b1d99-8900-44a4-99ef-2f43646f3f87	tale_03.txt	Iauti iauraete	6ab546820d7977bbad0e89e7.json	5	0a7a1474-a51a-4d41-88c9-9fc519ef3b11	Iauti ocuaxára: — Xa cenõin xa ikộ cẹ anãma itã oú arãma cẹrẹmiára uaçú tapiíra.	O jabuti respondeu: — Eu chamando eu estou meus parentes comerem para minha caça grande a anta.				15	0	none	0	1	IP-MAT	0	root_only	no	TreeConstructionError: invalid chunk: {'i': 1, 'f': 15, 't': 'IP-MAT'}	0	0	0	1	0	0	0	1
305b1d99-8900-44a4-99ef-2f43646f3f87	tale_03.txt	Iauti iauraete	6ab546820d7977bbad0e89e7.json	6	bb1a5e7a-0e14-4328-9998-c82056f116d1	Iauarẹtệ onhehẽ: — Rẹputári xa muĩ tapiíra indẹ arãma?	A onça disse: — Tu queres que eu parta a anta você para?				9	0	none	0	1	IP-MAT	0	root_only	no	TreeConstructionError: invalid chunk: {'i': 1, 'f': 9, 't': 'IP-MAT'}	0	0	0	1	0	0	0	1
305b1d99-8900-44a4-99ef-2f43646f3f87	tale_03.txt	Iauti iauraete	6ab546820d7977bbad0e89e7.json	7	1fac6647-d11c-451a-85f3-cd71549b3a90	Iautí onhehẽ: — Xa putári: rẹmunúca iépe çuaxára inẹ arãma; amũ, ixé arãma.	Jabuti disse: — Eu quero: tu separes uma banda ti para; outra mim para.				13	0	none	0	1	IP-MAT	0	root_only	no	TreeConstructionError: invalid chunk: {'i': 1, 'f': 13, 't': 'IP-MAT'}	0	0	0	1	0	0	0	1
305b1d99-8900-44a4-99ef-2f43646f3f87	tale_03.txt	Iauti iauraete	6ab546820d7977bbad0e89e7.json	8	7db7a27f-4c4f-42fc-a7a2-5c85e5517b86	Iauarẹtệ onhehẽ: — Aramé rẹçộ rẹiúúca iẹpeá.	A onça disse: — Então vá tirar lenha.				7	0	none	0	1	IP-MAT	0	root_only	no	TreeConstructionError: invalid chunk: {'i': 1, 'f': 7, 't': 'IP-MAT'}	0	0	0	1	0	0	0	1
305b1d99-8900-44a4-99ef-2f43646f3f87	tale_03.txt	Iauti iauraete	6ab546820d7977bbad0e89e7.json	9	4e9c770e-ddd9-4ca2-80e3-93f64fdadad4	Iauti oçộ pucuçáua, iáuárẹtệ oçupíri iximiára, ộiáuáu.	O jabuti foi em quanto que, a onça carregou dele a caça, e fugiu.				7	0	none	0	1	IP-MAT	0	root_only	no	TreeConstructionError: invalid chunk: {'i': 1, 'f': 7, 't': 'IP-MAT'}	0	0	0	1	0	0	0	1
305b1d99-8900-44a4-99ef-2f43646f3f87	tale_03.txt	Iauti iauraete	6ab546820d7977bbad0e89e7.json	10	7faca5ca-cd4b-45b3-9e10-189650c4b813	Iautí ocɨka ramé uacệma nhúnto ậna tiputí, ộiákáu iauárẹtệ irúmo, onhehẽ: — Tenupá!	O jabuti chegou quando encontrou apenas fezes, ralhou onça com, disse: — Deixa estar!				13	0	none	0	1	IP-MAT	0	root_only	no	TreeConstructionError: invalid chunk: {'i': 1, 'f': 13, 't': 'IP-MAT'}	0	0	0	1	0	0	0	1
