sent_ordinal	sent_uid	sent_text	text_pt_br	visible	path	container_uid	container_id	container_title	token_ordinal	token_p	token_form	token_tag_source	token_level	token_gloss_br	split_obj_json	split_count	split_forms	split_tags	split_glosses_br	split_fns	split_idxs	chunk_memberships	proto_conllu_id	proto_conllu_form	proto_conllu_misc_json	proto_token_range
1	ed98d4d1-638c-4377-8c6d-5511855636d1	ajo liwatece ja iwaGadi	A canoa dele/a é pesada		$.pages[0].sentences[0]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ajo	D	1	a		2	a|jo	F|CL	|	|	|	IP-MAT[l=0]|NP[l=1]	1	ajo	"""TokenRange=0:3"""	
1	ed98d4d1-638c-4377-8c6d-5511855636d1	ajo liwatece ja iwaGadi	A canoa dele/a é pesada		$.pages[0].sentences[0]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	liwatece	N$	1	canoa dela/dele		2	l|watece	3POSS|canoa	|	|	|	IP-MAT[l=0]|NP[l=1]	2	liwatece	"""TokenRange=3:11"""	
1	ed98d4d1-638c-4377-8c6d-5511855636d1	ajo liwatece ja iwaGadi	A canoa dele/a é pesada		$.pages[0].sentences[0]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	ja	T	0	completivo		1	jaG	PFV				IP-MAT[l=0]	3	ja	"""TokenRange=11:13"""	
1	ed98d4d1-638c-4377-8c6d-5511855636d1	ajo liwatece ja iwaGadi	A canoa dele/a é pesada		$.pages[0].sentences[0]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	iwaGadi	VB	0			2	i|waGadi	Abs|v	3|pesar	|	|	IP-MAT[l=0]	4	iwaGadi	"""TokenRange=13:20"""	
2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	ajo liwatece etadi weiigi	A canoa dele/a está no rio	True	$.pages[0].sentences[1]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ajo	D	1	a		2	a|jo	Gnr|Ncl	F|CL	|	|	IP-MAT[l=0]|NP[l=1]	1	ajo	"""TokenRange=0:3"""	
2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	ajo liwatece etadi weiigi	A canoa dele/a está no rio	True	$.pages[0].sentences[1]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	liwatece	N$	1	canoa dela/dele		2	l|watece	Gen|n	3|canoa	|	|	IP-MAT[l=0]|NP[l=1]	2	liwatece	"""TokenRange=3:11"""	
2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	ajo liwatece etadi weiigi	A canoa dele/a está no rio	True	$.pages[0].sentences[1]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	etadi	VB	0	está		1	etadi	v	estar em/ficar em (temporário)			IP-MAT[l=0]	3	etadi	"""TokenRange=11:16"""	
2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	ajo liwatece etadi weiigi	A canoa dele/a está no rio	True	$.pages[0].sentences[1]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	weiigi	N	1	rio		1	weiigi	n	rio			IP-MAT[l=0]|NP[l=1]	4	weiigi	"""TokenRange=16:22"""	
3	49347527-d19d-4689-bff1-ba3e497e7b1f	ajo niwatece etadi digoida	A canoa está lá	True	$.pages[0].sentences[2]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ajo	D	1	a		2	a|jo	Gnr|Ncl	F|	|	|	IP-MAT[l=0]|NP[l=1]	1	ajo	"""TokenRange=0:3"""	
3	49347527-d19d-4689-bff1-ba3e497e7b1f	ajo niwatece etadi digoida	A canoa está lá	True	$.pages[0].sentences[2]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	niwatece	N$	1	canoa		2	n|watece	Ant|n	|canoa	|	|	IP-MAT[l=0]|NP[l=1]	2	niwatece	"""TokenRange=3:11"""	
3	49347527-d19d-4689-bff1-ba3e497e7b1f	ajo niwatece etadi digoida	A canoa está lá	True	$.pages[0].sentences[2]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	etadi	VB	0	está		1	etadi	v	estar em/ficar em (temporário)			IP-MAT[l=0]	3	etadi	"""TokenRange=11:16"""	
3	49347527-d19d-4689-bff1-ba3e497e7b1f	ajo niwatece etadi digoida	A canoa está lá	True	$.pages[0].sentences[2]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	digoida	ADV	1	lá		1	digoida	lá				IP-MAT[l=0]|ADVP[l=1]	4	digoida	"""TokenRange=16:23"""	
4	69948fe6-81f6-4faa-a344-8f8c47486943	niwatece iwaGadi	A canoa está pesada	True	$.pages[0].sentences[3]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	niwatece	N$	1			2	n|watece	Ant|n	|canoa	|	|	IP-MAT[l=0]|NP-SBJ[l=1]	1	niwatece	"""TokenRange=0:8"""	
4	69948fe6-81f6-4faa-a344-8f8c47486943	niwatece iwaGadi	A canoa está pesada	True	$.pages[0].sentences[3]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	iwaGadi	VB	0			2	i|waGadi	Abs|v	1|pesar	|	|	IP-MAT[l=0]	2	iwaGadi	"""TokenRange=8:15"""	
5	b2e3ea43-0d68-46ee-9f33-938610cc8aec	niwatece etadi weiigi	A canoa está no rio	True	$.pages[0].sentences[4]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	niwatece	N$	1	canoa		2	n|watece	Ant|n	|canoa	|	|	IP-MAT[l=0]|NP-SBJ[l=1]	1	niwatece	"""TokenRange=0:8"""	
5	b2e3ea43-0d68-46ee-9f33-938610cc8aec	niwatece etadi weiigi	A canoa está no rio	True	$.pages[0].sentences[4]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	etadi	VB	0	está		3	et|a|di	v|Gnr|Ncl	|F|	||	||	IP-MAT[l=0]	2	etadi	"""TokenRange=8:13"""	
5	b2e3ea43-0d68-46ee-9f33-938610cc8aec	niwatece etadi weiigi	A canoa está no rio	True	$.pages[0].sentences[4]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	weiigi	N	1	rio		1						IP-MAT[l=0]|NP-ACC[l=1]	3	weiigi	"""TokenRange=13:19"""	
6	1b99ecb9-5656-4c38-b60b-fbbe643708fb	ajo niwatece ipegitege weiigi	A canoa está perto do rio	True	$.pages[0].sentences[5]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ajo	D	1	a		2	a|jo	Gnr|Ncl	|	|	|	IP-MAT[l=0]|NP-SBJ[l=1]	1	ajo	"""TokenRange=0:3"""	
6	1b99ecb9-5656-4c38-b60b-fbbe643708fb	ajo niwatece ipegitege weiigi	A canoa está perto do rio	True	$.pages[0].sentences[5]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	niwatece	N$	1	canoa		2	n|watece	Ant|n	|	|	|	IP-MAT[l=0]|NP-SBJ[l=1]	2	niwatece	"""TokenRange=3:11"""	
6	1b99ecb9-5656-4c38-b60b-fbbe643708fb	ajo niwatece ipegitege weiigi	A canoa está perto do rio	True	$.pages[0].sentences[5]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	ipegitege	VBAPL	0	fica perto de		3	i|pegi|tece	Erg|v|Apl	3|aproximar|3	||	||	IP-MAT[l=0]	3	ipegitege	"""TokenRange=11:20"""	
6	1b99ecb9-5656-4c38-b60b-fbbe643708fb	ajo niwatece ipegitege weiigi	A canoa está perto do rio	True	$.pages[0].sentences[5]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	weiigi	N	1	rio		0						IP-MAT[l=0]|NP-APL[l=1]	4	weiigi	"""TokenRange=20:26"""	
7	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9	liGeladi Maria aGipegetege	A casa de Maria não é perto dela	True	$.pages[0].sentences[6]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	liGeladi	N$	1	casa dela/dele		2	l|iGeladi	Gnr|n	|casa	|	|	IP-MAT[l=0]|NP-SBJ[l=1]	1	liGeladi	"""TokenRange=0:8"""	
7	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9	liGeladi Maria aGipegetege	A casa de Maria não é perto dela	True	$.pages[0].sentences[6]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	Maria	NPR	1			0						IP-MAT[l=0]|NP-ACC[l=1]	2	Maria	"""TokenRange=8:13"""	
7	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9	liGeladi Maria aGipegetege	A casa de Maria não é perto dela	True	$.pages[0].sentences[6]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	aG@	NEG	0	não fica perto dela	"{""v"": ""aGipegetege"", ""t"": ""NEG+VBAPL"", ""idx"": 0}"	4	aG|i|pege|tege	Neg|Erg|v|Apl	||aproximar|aplicativo de 3 pessoa feminino	True|||	|||	IP-MAT[l=0]	3	aGipegetege	"""TokenRange=13:24"""	
7	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9	liGeladi Maria aGipegetege	A casa de Maria não é perto dela	True	$.pages[0].sentences[6]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	@ipegetege	VBAPL	0		"{""idx"": 1}"	0						IP-MAT[l=0]				
8	79a6cd4e-b585-437a-9084-1fa077dec3b6	ica liGeladi ipegetege	A casa está perto dela	True	$.pages[0].sentences[7]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ica	D	1			2	i|ca	Gnr|Ncl	M|	|	|	IP-MAT[l=0]|NP-SBJ[l=1]	1	ica	"""TokenRange=0:3"""	
8	79a6cd4e-b585-437a-9084-1fa077dec3b6	ica liGeladi ipegetege	A casa está perto dela	True	$.pages[0].sentences[7]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	liGeladi	N$	1			2	l|Geladi	Gen|n	3|casa	|	|	IP-MAT[l=0]|NP-SBJ[l=1]	2	liGeladi	"""TokenRange=3:11"""	
8	79a6cd4e-b585-437a-9084-1fa077dec3b6	ica liGeladi ipegetege	A casa está perto dela	True	$.pages[0].sentences[7]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	ipegetege	VBAPL	0			3	i|pege|tege	Erg|v|Apl	|aproximar|aplicativo de 3 pessoa feminino	||	||	IP-MAT[l=0]	3	ipegetege	"""TokenRange=11:20"""	
9	e9d6dfb6-656d-44aa-ba17-86289fd72268	liGeladi idei nigotaGa	A casa fica perto da cidade	True	$.pages[0].sentences[8]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	liGeladi	N$	1	casa dela/dele		2	l|Geladi	Gen|n	3|casa	|	|	IP-MAT[l=0]|NP[l=1]	1	liGeladi	"""TokenRange=0:8"""	
9	e9d6dfb6-656d-44aa-ba17-86289fd72268	liGeladi idei nigotaGa	A casa fica perto da cidade	True	$.pages[0].sentences[8]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	idei	VB	0	fica		2	i|dei	Erg|v	3|ficar(permanente)	|	|	IP-MAT[l=0]	2	idei	"""TokenRange=8:12"""	
9	e9d6dfb6-656d-44aa-ba17-86289fd72268	liGeladi idei nigotaGa	A casa fica perto da cidade	True	$.pages[0].sentences[8]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	nigotaGa	N	1	cidade		2	n|gotaGa	Ant|cidade	|	|	|	IP-MAT[l=0]|NP[l=1]	3	nigotaGa	"""TokenRange=12:20"""	
10	2fff1f23-4e6f-401c-8b74-6a17ff6a391a	ica liGeladi ipegitegi	a casa dela/dele fica perto dele/dela (perguntar mais sobre a variação i/e	True	$.pages[0].sentences[9]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ica	D	1	a		2	i|ca	|	|	|	|	IP-MAT[l=0]|NP[l=1]	1	ica	"""TokenRange=0:3"""	
10	2fff1f23-4e6f-401c-8b74-6a17ff6a391a	ica liGeladi ipegitegi	a casa dela/dele fica perto dele/dela (perguntar mais sobre a variação i/e	True	$.pages[0].sentences[9]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	liGeladi	N$	1	sua casa		2	l|iGeladi	|	|	|	|	IP-MAT[l=0]|NP[l=1]	2	liGeladi	"""TokenRange=3:11"""	
10	2fff1f23-4e6f-401c-8b74-6a17ff6a391a	ica liGeladi ipegitegi	a casa dela/dele fica perto dele/dela (perguntar mais sobre a variação i/e	True	$.pages[0].sentences[9]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	ipegitegi	VBAPL	0	fica perto de		3	i|pegi|tegi	||	||	||	||	IP-MAT[l=0]	3	ipegitegi	"""TokenRange=11:20"""	
11	fef391af-9e63-419f-8f81-057459193f49	ica Maria looligi alidi	a comida da Maria não está deliciosa (a não gostosura da comida da Maria)	True	$.pages[0].sentences[10]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ica	D	1	a		2	i|ca	Gnr|Ncl	|	|	|	IP-MAT[l=0]|NP[l=1]	1	ica	"""TokenRange=0:3"""	
11	fef391af-9e63-419f-8f81-057459193f49	ica Maria looligi alidi	a comida da Maria não está deliciosa (a não gostosura da comida da Maria)	True	$.pages[0].sentences[10]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	Maria	NPR	1	Maria		0						IP-MAT[l=0]|NP[l=1]	2	Maria	"""TokenRange=3:8"""	
11	fef391af-9e63-419f-8f81-057459193f49	ica Maria looligi alidi	a comida da Maria não está deliciosa (a não gostosura da comida da Maria)	True	$.pages[0].sentences[10]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	looligi	N$	1	sua comida		2	l|ooligi	Gen|n	3|comida	|	|	IP-MAT[l=0]|NP[l=1]	3	loligi	"""TokenRange=8:14"""	
11	fef391af-9e63-419f-8f81-057459193f49	ica Maria looligi alidi	a comida da Maria não está deliciosa (a não gostosura da comida da Maria)	True	$.pages[0].sentences[10]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	aG@	NEG	0	não sua gostosura	"{""v"": ""alidi"", ""t"": ""NEG+N$"", ""idx"": 0}"	3	aG|l|idi	Neg|Gen|n	|3|gostosura	True||	||	IP-MAT[l=0]	4	alidi	"""TokenRange=14:19"""	
11	fef391af-9e63-419f-8f81-057459193f49	ica Maria looligi alidi	a comida da Maria não está deliciosa (a não gostosura da comida da Maria)	True	$.pages[0].sentences[10]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			5	5	@lidi	N$	1		"{""idx"": 1}"	0						IP-MAT[l=0]|NP[l=1]				
12	070d221f-f72d-4055-9c82-ddc383743e6a	ica looligi lidi	A comida está/é deliciosa (A gostosura da comida da Maria)	True	$.pages[0].sentences[11]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ica	D	1	uma		2	i|ca	Gnr|Ncl	|	|	|	IP-MAT[l=0]|NP-SBJ[l=1]	1	ica	"""TokenRange=0:3"""	
