source_id	source_tag	token_form	count
ped-gramm	D	ica	14
ped-gramm	PUNC	.	13
hil-data	VB	iwaGadi	13
van-data	C	me@	13
ped-gramm	N$	liGeladi	12
hil-data	C	me@	12
ped-gramm	N$	iGeladi	11
hil-data	NEG	aG@	10
ped-gramm	NEG	aG@	9
van-data	VB	iwaGadi	9
van-data	NEG	aG@	9
hil-data	PUNC	.	8
ped-gramm	N	weiigi	7
ped-gramm	VB	idei	7
ped-gramm	VBAPL	ipegitegi	7
hil-data		*T*	6
van-data	N	weiigi	6
van-data	N$	libinienigi	6
van-data	D	ajo	6
van-data	N	wetiGa	6
ped-gramm	N$	looligi	5
ped-gramm	N	naigi	5
ped-gramm	C	me	5
ped-gramm	N	napioi	5
hil-data	C	me	5
hil-data	PRO	ee	5
hil-data	N	wetiGa	5
hil-data	PRO	Ee	5
van-data	VB	idei	5
van-data	Q	eliodi	5
van-data	C	me	5
van-data	DAPL	@anitaGa	5
van-data	PRO	ee	5
ped-gramm	D	ajo	4
ped-gramm	VB	iwaGadi	4
ped-gramm	N$	niwatece	4
ped-gramm	N$	libinienigi	4
ped-gramm		*T*	4
ped-gramm	C	me@	4
ped-gramm	N$	Eyodi	4
hil-data	N$	libinienaGa	4
hil-data	Q	eliodi	4
hil-data	N$	libinienigi	4
hil-data	N	nigotaGa	4
hil-data	D	NaGani	4
hil-data	D	@idi	4
van-data	N	iwaalo	4
van-data	N$	libinienaGa	4
van-data	N	niwatece	4
van-data	D	ijo	4
van-data	D	ijowa	4
ped-gramm	VB	etadi	3
ped-gramm	D	digoida	3
ped-gramm	N	nigotaGa	3
ped-gramm	N	nioladi	3
ped-gramm	NPR	João	3
ped-gramm	WPRO	ane	3
ped-gramm	N	niganaGacanajo	3
ped-gramm	N$	loojedi	3
hil-data	WPRO	ane	3
hil-data	N$	loojedi	3
hil-data	D	NiGijo	3
hil-data	VB	idei	3
hil-data	VB	DapicoGo	3
hil-data	VB	dapicoGo	3
hil-data	D	nigidiwa	3
hil-data	N$	liGeladi	3
hil-data	VBAPL	ipegitege	3
van-data	N$	iGeladi	3
van-data	T	ja	3
van-data	N$	lomiigo	3
van-data	N	nigaanigawaanigi	3
van-data	N$	libinienigipi	3
van-data	N$	liwigo	3
van-data	D	ani	3
van-data	D	idiwa	3
van-data	D	@idi	3
van-data	VB	etee	3
van-data	NEG+D	aGica	3
van-data	VBAPL	ipegitegi	3
van-data	N$	nigotaGa	3
ped-gramm	N$	liwatece	2
ped-gramm	T	ja	2
ped-gramm	VBAPL	ipegitege	2
ped-gramm	NPR	Maria	2
ped-gramm	VB	dapico	2
ped-gramm	N$	lideGegi	2
ped-gramm	D	ijo	2
ped-gramm	WPRO	ane@	2
ped-gramm	C	daGa	2
ped-gramm	N	akiidi	2
ped-gramm	N	niweiigi	2
ped-gramm	VBAPL	jipacaGataGagitiwaji	2
ped-gramm	N	etogo	2
ped-gramm	VB	@dakake	2
ped-gramm	N$	lojedi	2
ped-gramm	N	etogoli	2
ped-gramm	ADJ	dakake	2
ped-gramm	N$	lojetedi	2
hil-data	N	Iwaalo	2
hil-data	N$	libiniena	2
hil-data	VB	ninitibeci	2
hil-data	N$	LotaGa	2
hil-data	N	Etogo	2
hil-data	VBU	@dakake	2
hil-data	D	NiGida	2
hil-data	D	NaGajo	2
hil-data	N$	lomigo	2
hil-data	NPR	Pedilo	2
hil-data	D	@adi	2
hil-data	N$	niwatece	2
hil-data	N	niganigawanigi	2
hil-data	N$	lionaGa	2
hil-data	N	iwaalo	2
hil-data	N$	libinienigipi	2
hil-data	VB	Ninitibeci	2
hil-data	D	naGada	2
hil-data	D	naGadi	2
hil-data	N$	liwigo	2
hil-data	N$	iGonagi	2
hil-data	N	okokodi	2
hil-data	N$	ligetedi	2
hil-data	VB	Ite	2
hil-data	Q	@eliodi	2
hil-data	VB	idinitibeci	2
hil-data	VBAPL	@jipegitege	2
hil-data	VBAPL	jipegitege	2
hil-data	VB	@idejonaGa	2
hil-data	N$	Godoigi	2
hil-data	NPR	Maria	2
hil-data	N	akiidi	2
hil-data	N$	nakidi	2
hil-data	VB	etini	2
hil-data	N$	liwatece	2
van-data	D	digoida	2
van-data	N$	lotaGa	2
van-data	N$	niwatece	2
van-data	N$	liwaGatena	2
van-data	D	niGida	2
van-data	N$	loojedi	2
van-data	D	naGajo	2
van-data	D	niGijo	2
van-data	PRO	Eyo	2
van-data	N	nigotaGa	2
van-data	DAPL	@initaGa	2
van-data	VB	ninitibeci	2
van-data	N$	liGeladi	2
van-data	D	naGani	2
van-data	N	wetiadi	2
van-data	VBAPL	eniteloco	2
van-data	N$	iGonagi	2
van-data		*T*	2
van-data	N	waca	2
van-data	N$	lotiidi	2
van-data	VB	dapicoGo	2
van-data	N$	niwigo	2
van-data	N$	nigetedi	2
van-data	N	okokodi	2
van-data	N$	ligetedi	2
van-data	PUNC	.	2
van-data	D	ina	2
van-data	C	daGa	2
van-data	D	@ica	2
van-data	VB	@idedonaGa	2
van-data	N$	Godoigi	2
van-data	NPR	Maria	2
van-data	VB	dapico	2
van-data	N$	leonigipi	2
van-data	N$	ligeladi	2
van-data	N$	niweiigi	2
ped-gramm	VBAPL	@ipegetege	1
ped-gramm	VBAPL	ipegetege	1
ped-gramm	N$	@lidi	1
ped-gramm	N$	lidi	1
ped-gramm	N$	loigipodi	1
ped-gramm	N$	libinienigipi	1
ped-gramm	N$	loigi	1
ped-gramm	N	niganigi	1
ped-gramm	N$	GanigotGa	1
ped-gramm	N$	loligi	1
ped-gramm	N$	liwigo	1
ped-gramm	N$	niwigo	1
ped-gramm	N$	Ganixoa	1
ped-gramm	N$	nioxoa	1
ped-gramm	N$	lodawa	1
ped-gramm	ADJ	@napioi	1
ped-gramm	D	@ijo	1
ped-gramm	PRO$	naGajo	1
ped-gramm	VBAPL	dowediteloco	1
ped-gramm	N	naodigijedi	1
ped-gramm	DAPL	@icawataGa	1
ped-gramm	N$	lionigipi	1
ped-gramm	VBAPL	ipegitaGagi	1
ped-gramm	VBAPL	@ipegitegi	1
ped-gramm	N	Gatodi	1
ped-gramm	VB	etijo	1
ped-gramm	PRO	ida	1
ped-gramm	D	ijotawece	1
ped-gramm	VB	etidi	1
ped-gramm	N$	lotaGa	1
ped-gramm	N$	GanaginaGa	1
ped-gramm	N$	libinienaGa	1
ped-gramm	D	nGida	1
ped-gramm	N	niwenigi	1
ped-gramm	Q	daGaxa	1
ped-gramm	VBU	dakake	1
ped-gramm	N$	napioi	1
ped-gramm	N$	nigotaGa	1
ped-gramm	N$	Niwatece	1
ped-gramm	CONJ	codaa	1
ped-gramm	VBU	@dakake	1
ped-gramm	VB	etee	1
ped-gramm	DAPL	@initaGa	1
ped-gramm	PRO	ee	1
ped-gramm	VB	@idininitebeci	1
ped-gramm	D	@ee	1
ped-gramm	Q	eliodi	1
ped-gramm	N	niinikeGegi	1
ped-gramm	PRO	akaami	1
ped-gramm	PRO	oko	1
ped-gramm	D	niGidowa	1
ped-gramm	N	waca	1
ped-gramm	N$	lotiidi	1
ped-gramm	VB	dapikoGo	1
ped-gramm	N$	IiGeladi	1
ped-gramm	D	@idi	1
ped-gramm	VB	@iwaGadi	1
ped-gramm	N	Etogoli	1
ped-gramm	ADJ	@dakake	1
hil-data	N$	Ganioxoa	1
hil-data	N$	Gadodawa	1
hil-data	WPRO	ane@	1
hil-data	VB	@iwaGadi	1
hil-data	N$	lojedi	1
hil-data	CNEG+VBU	adakake	1
hil-data	N$	Gawenigi	1
hil-data	N$	liwenigi	1
hil-data	N$	niwenigi	1
hil-data	VBU	dakake	1
hil-data	VB	Te	1
hil-data	D	niGijoa	1
hil-data	DAPL	@ijotaGa	1
hil-data	N	dibixodi	1
hil-data	VB	ideiticoaci	1
hil-data	DAPL	@aditaGa	1
hil-data	N	Iwaalepodi	1
hil-data	D	NaGana	1
hil-data	D	Ada	1
hil-data	D	Ani	1
hil-data	D	Adi	1
hil-data	D	naGana	1
hil-data	VB	@ninitibeci	1
hil-data	VB	DapipocoGo	1
hil-data	N	Ninitibigiwaji	1
hil-data	N$	lodajo	1
hil-data	N	lodawa	1
hil-data	VB	@idei	1
hil-data	N	dineigi	1
hil-data	D	naGani	1
hil-data	D	NiGinoa	1
hil-data	N	wetiadi	1
hil-data	VBAPL	eniteloco	1
hil-data	D	NiGidoa	1
hil-data	N	waca	1
hil-data	N$	lotiidi	1
hil-data	N	niwigo	1
hil-data	D	NiGidiwa	1
hil-data	N	noGojedi	1
hil-data	N$	lixagotaGaGa	1
hil-data	VB	ite	1
hil-data	D	ina	1
hil-data	DAPL	@adataGa	1
hil-data	DAPL	@idataGa	1
hil-data	VB	@idinitibeci	1
hil-data	VB	idiwaGadi	1
hil-data	VBAPL	jipecaGataGagi	1
hil-data	N	oko	1
hil-data	VBAPL	jipecaGataGagitiwaji	1
hil-data	D	niGijo	1
hil-data	N$	nelokodi	1
hil-data	N	bijo	1
hil-data	D	Nagada	1
hil-data	N$	libiwe	1
hil-data	N	niale	1
hil-data	VB	ixagodi	1
hil-data	N	bijotedi	1
hil-data	D	Nigijoa	1
hil-data	N$	lianaGa	1
hil-data	D	NiGidi	1
hil-data	VB	etidi	1
hil-data	DAPL	@eetaGa	1
hil-data	N	Nigaanigawaanigi	1
hil-data	N	nigaanigawaanigi	1
hil-data	N	ideloGole	1
van-data	VB	ideaGi	1
van-data	N$	libiniena	1
van-data	VB	ninitibeke	1
van-data	N$	GanaaginaGa	1
