sentence_id	dataset	struct_status	result	details
hil-data,0.1	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.10	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.11	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.12	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.13	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.14	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.15	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.16	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.17	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.18	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.19	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.2	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.20	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.21	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.22	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.23	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.24	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.25	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.26	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.27	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.28	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.29	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.3	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.30	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.31	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.32	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.33	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.34	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.35	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.36	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.37	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.38	hil-data	DONE	EXACT_MATCH	trees are identical after whitespace normalization
hil-data,0.39	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.4	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.41	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.43	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.44	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.48	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.49	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.5	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.50	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
hil-data,0.51	hil-data	DONE	STRUCTURAL_DIFFERENCE	validated-reference difference
