expected_from_text	expected_from_uid	expected_split_forms	expected_split_tags	issue_type	source_file	source_id	text	token_form	token_tag	uid
ajo liwatece etadi weiigi	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	"[""weiigi""]"	"[""n""]"	token_without_splits_but_analyzed_elsewhere	data/ped-gramm.json	ped-gramm	niwatece etadi weiigi	weiigi	N	b2e3ea43-0d68-46ee-9f33-938610cc8aec
ajo liwatece etadi weiigi	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	"[""weiigi""]"	"[""n""]"	token_without_splits_but_analyzed_elsewhere	data/van-data.json	van-data	iGeladi idei weiigi	weiigi	N	d07f0db7-963e-47ab-ab3f-36614732bacd
ajo liwatece etadi weiigi	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	"[""weiigi""]"	"[""n""]"	token_without_splits_but_analyzed_elsewhere	data/van-data.json	van-data	iGeladi ideaGi weiigi	weiigi	N	f50b632e-fc1a-4ec0-b8b3-610dab7be736
ajo liwatece etadi weiigi	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	"[""weiigi""]"	"[""n""]"	token_without_splits_but_analyzed_elsewhere	data/van-data.json	van-data	niwatece liwaGatena lodejedi etidi weiigi	weiigi	N	2c026af9-b8a1-4389-b658-00113b070dee
ajo liwatece etadi weiigi	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	"[""weiigi""]"	"[""n""]"	token_without_splits_but_analyzed_elsewhere	data/van-data.json	van-data	ijo lemé Maria ipegitegi weiigi	weiigi	N	6599689a-3fbe-4598-8827-78aceeff3931
ajo liwatece etadi weiigi	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	"[""weiigi""]"	"[""n""]"	token_without_splits_but_analyzed_elsewhere	data/van-data.json	van-data	nigotaGa liGeladi ipegitegi weiigi	weiigi	N	81048a6f-e084-4b0a-965a-f41fb5c53ff7
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_without_splits_but_analyzed_elsewhere	data/ped-gramm.json	ped-gramm	nigotaGa liGeladi ipegitegi weiigi .	nigotaGa	N	aad13f14-bd9a-462a-9a43-68ba69a81519
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_without_splits_but_analyzed_elsewhere	data/ped-gramm.json	ped-gramm	liGeladi ipegitege niweiigi nigotaGa .	nigotaGa	N$	ef4d298a-643b-4c08-9bdd-f7c6b63ac9ec
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_without_splits_but_analyzed_elsewhere	data/ped-gramm.json	ped-gramm	liGeladi ipegitegi niweiigi nigotaGa .	nigotaGa	N	8b1a9983-4dfd-49e8-9285-92c56c84b652
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_without_splits_but_analyzed_elsewhere	data/hil-data.json	hil-data	Te ee nigotaGa	nigotaGa	N	3a7e213b-323e-4694-bad9-47091f3533f5
