host_token	issue_type	known_tags_elsewhere	morpheme_form	source_file	source_id	split_index	text	uid
me@	missing_split_tag_but_known_for_same_morpheme	"[""Gnr"", ""Plu""]"	a	data/hil-data.json	hil-data	2	NaGajo lomigo Pedilo idei madi niwatece	559ba85f-edfc-48dc-9bfb-0c3f8e5ad887
me@	missing_split_tag_but_known_for_same_morpheme	"[""Gnr"", ""Plu""]"	a	data/hil-data.json	hil-data	2	NaGajo lomigo niganigawanigi madi niwatece	92838eda-ef9b-4f05-a5eb-38a4709c0337
lotiidi	missing_split_tag_but_known_for_same_morpheme	"[""Gen"", ""Gnr""]"	l	data/ped-gramm.json	ped-gramm	1	niGidowa waca lotiidi dapikoGo	d3e098e5-4edd-4c24-81cf-78ff4a4d398c
lojedi	missing_split_tag_but_known_for_same_morpheme	"[""Gen"", ""Gnr""]"	l	data/ped-gramm.json	ped-gramm	1	etogo adakake lojedi	73ceda1b-be14-4e75-9b1e-2a490d7df366
lojedi	missing_split_tag_but_known_for_same_morpheme	"[""Gen"", ""Gnr""]"	l	data/hil-data.json	hil-data	1	Etogo aneiwaGadi adakake lojedi	e349508c-4d86-48b8-9918-057988755e77
lojedi	missing_split_tag_but_known_for_same_morpheme	"[""Gen"", ""Gnr""]"	l	data/hil-data.json	hil-data	1	Nigidiwa noGojedi lixagotaGaGa adakake lojedi	83fdcd4c-338f-4a9f-8545-da8539e67e9d
lojetedi	missing_split_tag_but_known_for_same_morpheme	"[""Gen"", ""Gnr""]"	l	data/van-data.json	van-data	1	niwatece iwaGadi noxilece lojetedi	947061b4-7b73-4612-8aa8-0af0e04cbc85
lemé	missing_split_tag_but_known_for_same_morpheme	"[""Gen"", ""Gnr""]"	l	data/van-data.json	van-data	1	ijo lemé Maria ipegitegi weiigi	6599689a-3fbe-4598-8827-78aceeff3931
digoida	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/ped-gramm.json	ped-gramm	2	ajo niwatece etadi digoida	49347527-d19d-4689-bff1-ba3e497e7b1f
me@	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/hil-data.json	hil-data	2	nigidiwa okokodi ligetedi midi niwigo libinienaGa	79cb0e55-9c06-4cb1-91b3-2b5233e1678f
idinitibeci	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/hil-data.json	hil-data	1	Ee ageliodi me idinitibeci	1e9df213-90da-4674-8889-4ac858df72fe
idiwaGadi	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/hil-data.json	hil-data	1	ee idiwaGadi	1e1fafc0-29c6-41d4-a0d2-4c825d9af376
idinitibeci	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/hil-data.json	hil-data	1	aGeliodi me idinitibeci .	90ca38d8-e063-4c98-af51-4b9022ade506
me@	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/hil-data.json	hil-data	2	oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae
me@	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/hil-data.json	hil-data	2	aidejonaGa midi Godoigi	dff00f05-7be1-4d62-b3ed-b8a8870851e9
me@	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/hil-data.json	hil-data	2	niGijo nelokodi Maria idei midi akiidi	3ab5703a-eb5c-48d2-b75b-992da5e60dd6
aG@	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	2	nGijo lodajo ajo lodowa aGica digoida liGeladi	0c7e64fb-f070-4faa-a12a-c110cdf4bf16
idiwa	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	1	idiwa wetiadi iwaGadi	6459c008-b2ad-4517-8227-b525616b720d
aG@	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	2	ee aGidininitibeci	c4d99cf1-e781-4efb-83ff-4a0ab873b7ec
aGica	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	2	aGica daGa jipegitege	d3095a7e-477d-405e-9ea2-85bfdacad7d3
aGica	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	2	aGica daGa jipegitegi	813f2ad7-42fb-4fbd-84b4-1957c68aa4f9
me@	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	2	aGeewi mica iniKGigi	42df6a83-6ae1-49b2-bd99-fbed7e2a083b
iniKGigi	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	1	aGeewi mica iniKGigi	42df6a83-6ae1-49b2-bd99-fbed7e2a083b
me@	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	2	aGeyo mica inikGigi	27d94732-46ea-4286-a1d4-b2861806a579
inikGigi	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	1	aGeyo mica inikGigi	27d94732-46ea-4286-a1d4-b2861806a579
me@	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	2	aGidedonaGa midi Godoigi	d3952c8a-1ac1-4255-be0b-63978fdf368b
me@	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	2	aGide jonaGa midi Godoigi	fbae0277-3aad-4812-9229-94179b5a97a0
ipegitegi	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	1	ijo lemé Maria ipegitegi weiigi	6599689a-3fbe-4598-8827-78aceeff3931
idiwa	missing_split_tag_but_known_for_same_morpheme	"[""Abs"", ""Erg"", ""Gen"", ""Gnr"", ""Plu""]"	i	data/van-data.json	van-data	1	idiwa leonigipi Maria libinienigipi	f240dcfe-ca05-42aa-8644-07b9e3464e1a
me@	missing_split_tag_but_known_for_same_morpheme	"[""Inv"", ""Ncl"", ""Plu""]"	di	data/hil-data.json	hil-data	3	NaGajo lomigo Pedilo idei madi niwatece	559ba85f-edfc-48dc-9bfb-0c3f8e5ad887
me@	missing_split_tag_but_known_for_same_morpheme	"[""Inv"", ""Ncl"", ""Plu""]"	di	data/hil-data.json	hil-data	3	NaGajo lomigo niganigawanigi madi niwatece	92838eda-ef9b-4f05-a5eb-38a4709c0337
me@	missing_split_tag_but_known_for_same_morpheme	"[""Inv"", ""Ncl"", ""Plu""]"	di	data/hil-data.json	hil-data	3	nigidiwa okokodi ligetedi midi niwigo libinienaGa	79cb0e55-9c06-4cb1-91b3-2b5233e1678f
me@	missing_split_tag_but_known_for_same_morpheme	"[""Inv"", ""Ncl"", ""Plu""]"	di	data/hil-data.json	hil-data	3	oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae
me@	missing_split_tag_but_known_for_same_morpheme	"[""Inv"", ""Ncl"", ""Plu""]"	di	data/hil-data.json	hil-data	3	aidejonaGa midi Godoigi	dff00f05-7be1-4d62-b3ed-b8a8870851e9
me@	missing_split_tag_but_known_for_same_morpheme	"[""Inv"", ""Ncl"", ""Plu""]"	di	data/hil-data.json	hil-data	3	niGijo nelokodi Maria idei midi akiidi	3ab5703a-eb5c-48d2-b75b-992da5e60dd6
idiwa	missing_split_tag_but_known_for_same_morpheme	"[""Inv"", ""Ncl"", ""Plu""]"	di	data/van-data.json	van-data	2	idiwa wetiadi iwaGadi	6459c008-b2ad-4517-8227-b525616b720d
me@	missing_split_tag_but_known_for_same_morpheme	"[""Inv"", ""Ncl"", ""Plu""]"	di	data/van-data.json	van-data	3	aGidedonaGa midi Godoigi	d3952c8a-1ac1-4255-be0b-63978fdf368b
me@	missing_split_tag_but_known_for_same_morpheme	"[""Inv"", ""Ncl"", ""Plu""]"	di	data/van-data.json	van-data	3	aGide jonaGa midi Godoigi	fbae0277-3aad-4812-9229-94179b5a97a0
idiwa	missing_split_tag_but_known_for_same_morpheme	"[""Inv"", ""Ncl"", ""Plu""]"	di	data/van-data.json	van-data	2	idiwa leonigipi Maria libinienigipi	f240dcfe-ca05-42aa-8644-07b9e3464e1a
digoida	missing_split_tag_but_known_for_same_morpheme	"[""Adv""]"	digo	data/ped-gramm.json	ped-gramm	1	ajo niwatece etadi digoida	49347527-d19d-4689-bff1-ba3e497e7b1f
digoida	missing_split_tag_but_known_for_same_morpheme	"[""Adv""]"	digo	data/van-data.json	van-data	1	iGeladi digoida weiigi	a7e338a1-5403-40d4-b169-c840cf193aae
digoida	missing_split_tag_but_known_for_same_morpheme	"[""Adv""]"	digo	data/van-data.json	van-data	1	nGijo lodajo ajo lodowa aGica digoida liGeladi	0c7e64fb-f070-4faa-a12a-c110cdf4bf16
digoida	missing_split_tag_but_known_for_same_morpheme	"[""Ncl""]"	da	data/ped-gramm.json	ped-gramm	3	ajo niwatece etadi digoida	49347527-d19d-4689-bff1-ba3e497e7b1f
aG@	missing_split_tag_but_known_for_same_morpheme	"[""v""]"	pegi	data/hil-data.json	hil-data	3	Ee ajipegitege	c4302bef-3de9-4f3c-b762-f6b77183f263
aG@	missing_split_tag_but_known_for_same_morpheme	"[""v""]"	pegi	data/hil-data.json	hil-data	3	Ee ajipegitege	5bc48b27-0755-475f-813e-7a259f3c3c9e
ipegitegi	missing_split_tag_but_known_for_same_morpheme	"[""v""]"	pegi	data/van-data.json	van-data	2	ijo lemé Maria ipegitegi weiigi	6599689a-3fbe-4598-8827-78aceeff3931
aG@	missing_split_tag_but_known_for_same_morpheme	"[""Neg""]"	aG	data/ped-gramm.json	ped-gramm	1	aGee eliodi niinikeGegi	3f077b37-aa95-4012-9efb-a21630cdd6e9
adakake	missing_split_tag_but_known_for_same_morpheme	"[""Neg""]"	aG	data/ped-gramm.json	ped-gramm	1	etogo aneiwaGadi adakake lojedi .	2c0248b3-8f68-46e9-b41c-9f7807572c87
adakake	missing_split_tag_but_known_for_same_morpheme	"[""Neg""]"	aG	data/ped-gramm.json	ped-gramm	1	etogo adakake lojedi	73ceda1b-be14-4e75-9b1e-2a490d7df366
aG@	missing_split_tag_but_known_for_same_morpheme	"[""Neg""]"	aG	data/hil-data.json	hil-data	1	Nigidiwa noGojedi lixagotaGaGa adakake lojedi	83fdcd4c-338f-4a9f-8545-da8539e67e9d
aG@	missing_split_tag_but_known_for_same_morpheme	"[""Neg""]"	aG	data/hil-data.json	hil-data	1	Ee aidinitibeci .	4242d34b-9096-45a2-a666-502a2cb9ca49
aG@	missing_split_tag_but_known_for_same_morpheme	"[""Neg""]"	aG	data/hil-data.json	hil-data	1	Ee ageliodi me idinitibeci	1e9df213-90da-4674-8889-4ac858df72fe
aG@	missing_split_tag_but_known_for_same_morpheme	"[""Neg""]"	aG	data/hil-data.json	hil-data	1	Ee ajipegitege	c4302bef-3de9-4f3c-b762-f6b77183f263
aG@	missing_split_tag_but_known_for_same_morpheme	"[""Neg""]"	aG	data/hil-data.json	hil-data	1	Ee ajipegitege	5bc48b27-0755-475f-813e-7a259f3c3c9e
aG@	missing_split_tag_but_known_for_same_morpheme	"[""Neg""]"	aG	data/hil-data.json	hil-data	1	aGeliodi me idinitibeci .	90ca38d8-e063-4c98-af51-4b9022ade506
