sent_ordinal	sent_uid	sent_text	text_pt_br	visible	path	container_uid	container_id	container_title	token_ordinal	token_p	token_form	token_tag_source	token_level	token_gloss_br	split_obj_json	split_count	split_forms	split_tags	split_glosses_br	split_fns	split_idxs	chunk_memberships	proto_conllu_id	proto_conllu_form	proto_conllu_misc_json	proto_token_range
1	ed98d4d1-638c-4377-8c6d-5511855636d1	ajo liwatece ja iwaGadi	A canoa dele/a é pesada		$.pages[0].sentences[0]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ajo	D	1	a		2	a|jo	Gnr|Ncl	F|emfrente	|	|	IP-MAT[l=0]|NP[l=1]				
1	ed98d4d1-638c-4377-8c6d-5511855636d1	ajo liwatece ja iwaGadi	A canoa dele/a é pesada		$.pages[0].sentences[0]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	liwatece	N$	1	canoa dela/dele		2	l|watece	Gen|canoa	3|n	|	|	IP-MAT[l=0]|NP[l=1]				
1	ed98d4d1-638c-4377-8c6d-5511855636d1	ajo liwatece ja iwaGadi	A canoa dele/a é pesada		$.pages[0].sentences[0]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	ja	T	0	completivo/passado		1	jaG	PFV				IP-MAT[l=0]				
1	ed98d4d1-638c-4377-8c6d-5511855636d1	ajo liwatece ja iwaGadi	A canoa dele/a é pesada		$.pages[0].sentences[0]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	iwaGadi	VB	0	pesar		2	i|waGadi	Abs|v	3|pesar	|	|	IP-MAT[l=0]				
2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	ajo liwatece etadi weiigi	A canoa dele/a está no rio		$.pages[0].sentences[1]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ajo	D	1	a		2	a|jo	Gnr|Ncl	F|emfrente	|	|	IP-MAT[l=0]|NP[l=1]				
2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	ajo liwatece etadi weiigi	A canoa dele/a está no rio		$.pages[0].sentences[1]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	liwatece	N$	1	canoa dela/dele		2	l|watece	Gen|n	3|canoa	|	|	IP-MAT[l=0]|NP[l=1]				
2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	ajo liwatece etadi weiigi	A canoa dele/a está no rio		$.pages[0].sentences[1]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	etadi	VB	0	está		1	etadi	v	estar em/ficar em (temporário)			IP-MAT[l=0]				
2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	ajo liwatece etadi weiigi	A canoa dele/a está no rio		$.pages[0].sentences[1]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	weiigi	N	1	rio		1	weiigi	n	rio			IP-MAT[l=0]|NP[l=1]				
3	49347527-d19d-4689-bff1-ba3e497e7b1f	ajo niwatece etadi digoida	A canoa está lá		$.pages[0].sentences[2]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ajo	D	1	a		2	a|jo	Gnr|Ncl	F|	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
3	49347527-d19d-4689-bff1-ba3e497e7b1f	ajo niwatece etadi digoida	A canoa está lá		$.pages[0].sentences[2]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	niwatece	N$	1	canoa		2	n|watece	Ant|n	|canoa	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
3	49347527-d19d-4689-bff1-ba3e497e7b1f	ajo niwatece etadi digoida	A canoa está lá		$.pages[0].sentences[2]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	etadi	VB	0	está		1	etadi	v	estar em/ficar em (temporário)			IP-MAT[l=0]				
3	49347527-d19d-4689-bff1-ba3e497e7b1f	ajo niwatece etadi digoida	A canoa está lá		$.pages[0].sentences[2]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	digoida	ADV	1	lá		1	digoida	lá				IP-MAT[l=0]|ADVP[l=1]				
4	69948fe6-81f6-4faa-a344-8f8c47486943	niwatece iwaGadi	A canoa está pesada		$.pages[0].sentences[3]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	niwatece	N$	1	canoa		2	n|watece	Ant|n	|canoa	|	|	IP-MAT[l=0]|NP[l=1]				
4	69948fe6-81f6-4faa-a344-8f8c47486943	niwatece iwaGadi	A canoa está pesada		$.pages[0].sentences[3]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	iwaGadi	VB	0	pesar		2	i|waGadi	Abs|v	3|pesar	|	|	IP-MAT[l=0]				
5	b2e3ea43-0d68-46ee-9f33-938610cc8aec	niwatece etadi weiigi	A canoa está no rio		$.pages[0].sentences[4]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	niwatece	N$	1	canoa		2	n|watece	Ant|n	|canoa	|	|	IP-MAT[l=0]|NP[l=1]				
5	b2e3ea43-0d68-46ee-9f33-938610cc8aec	niwatece etadi weiigi	A canoa está no rio		$.pages[0].sentences[4]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	etadi	VB	0	está		3	et|a|di	v|Gnr|Ncl	|F|	||	||	IP-MAT[l=0]				
5	b2e3ea43-0d68-46ee-9f33-938610cc8aec	niwatece etadi weiigi	A canoa está no rio		$.pages[0].sentences[4]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	weiigi	N	1	rio		1						IP-MAT[l=0]|NP[l=1]				
6	1b99ecb9-5656-4c38-b60b-fbbe643708fb	ajo niwatece ipegitege weiigi	A canoa está perto do rio		$.pages[0].sentences[5]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ajo	D	1	a		2	a|jo	Gnr|Ncl	|	|	|	IP-MAT[l=0]|NP[l=1]				
