expected_from_text	expected_from_uid	expected_split_forms	expected_split_tags	issue_type	source_file	source_id	split_forms_here	split_tags_here	text	token_form	uid
ajo liwatece etadi weiigi	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	"[""weiigi""]"	"[""n""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/ped-gramm.json	ped-gramm	"[""""]"	"[""""]"	niwatece etadi weiigi	weiigi	b2e3ea43-0d68-46ee-9f33-938610cc8aec
iGeladi idei digoida	a4ccc755-a644-4b04-ab1b-698e7acea4cc	"[""digo"", ""i"", ""da""]"	"[""Adv"", ""Gen"", ""Ncl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/ped-gramm.json	ped-gramm	"[""digo"", ""i"", ""da""]"	"["""", """", """"]"	ajo niwatece etadi digoida	digoida	49347527-d19d-4689-bff1-ba3e497e7b1f
iGeladi idei digoida	a4ccc755-a644-4b04-ab1b-698e7acea4cc	"[""digo"", ""i"", ""da""]"	"[""Adv"", ""Gen"", ""Ncl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/ped-gramm.json	ped-gramm	"[""digo i da""]"	"[""""]"	iGeladi digoida weiigi .	digoida	10e550d6-df13-4527-8aee-aa23e3f2fcdd
iGeladi idei digoida	a4ccc755-a644-4b04-ab1b-698e7acea4cc	"[""digo"", ""i"", ""da""]"	"[""Adv"", ""Gen"", ""Ncl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""digo"", ""i"", ""da""]"	"["""", ""Gnr"", ""Ncl""]"	iGeladi digoida weiigi	digoida	a7e338a1-5403-40d4-b169-c840cf193aae
iGeladi idei digoida	a4ccc755-a644-4b04-ab1b-698e7acea4cc	"[""digo"", ""i"", ""da""]"	"[""Adv"", ""Gen"", ""Ncl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""digo"", ""i"", ""da""]"	"["""", ""Gnr"", ""Ncl""]"	nGijo lodajo ajo lodowa aGica digoida liGeladi	digoida	0c7e64fb-f070-4faa-a12a-c110cdf4bf16
oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae	"[""aG"", ""i"", ""d"", ""ejona"", ""Ga""]"	"[""Neg"", ""Abs"", ""Inv"", ""v"", ""Plu""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/ped-gramm.json	ped-gramm	"[""aG"", ""ee""]"	"["""", """"]"	aGee eliodi niinikeGegi	aG@	3f077b37-aa95-4012-9efb-a21630cdd6e9
oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae	"[""aG"", ""i"", ""d"", ""ejona"", ""Ga""]"	"[""Neg"", ""Abs"", ""Inv"", ""v"", ""Plu""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""aG"", ""akake""]"	"["""", ""v""]"	Nigidiwa noGojedi lixagotaGaGa adakake lojedi	aG@	83fdcd4c-338f-4a9f-8545-da8539e67e9d
oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae	"[""aG"", ""i"", ""d"", ""ejona"", ""Ga""]"	"[""Neg"", ""Abs"", ""Inv"", ""v"", ""Plu""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""aG"", ""idinitibeci""]"	"["""", """"]"	Ee aidinitibeci .	aG@	4242d34b-9096-45a2-a666-502a2cb9ca49
oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae	"[""aG"", ""i"", ""d"", ""ejona"", ""Ga""]"	"[""Neg"", ""Abs"", ""Inv"", ""v"", ""Plu""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""aG"", ""eliodi""]"	"["""", """"]"	Ee ageliodi me idinitibeci	aG@	1e9df213-90da-4674-8889-4ac858df72fe
oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae	"[""aG"", ""i"", ""d"", ""ejona"", ""Ga""]"	"[""Neg"", ""Abs"", ""Inv"", ""v"", ""Plu""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""aG"", ""ji"", ""pegi"", ""tege""]"	"["""", """", """", """"]"	Ee ajipegitege	aG@	c4302bef-3de9-4f3c-b762-f6b77183f263
oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae	"[""aG"", ""i"", ""d"", ""ejona"", ""Ga""]"	"[""Neg"", ""Abs"", ""Inv"", ""v"", ""Plu""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""aG"", ""ji"", ""pegi"", ""tege""]"	"["""", """", """", """"]"	Ee ajipegitege	aG@	5bc48b27-0755-475f-813e-7a259f3c3c9e
oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae	"[""aG"", ""i"", ""d"", ""ejona"", ""Ga""]"	"[""Neg"", ""Abs"", ""Inv"", ""v"", ""Plu""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""aG"", ""eliodi""]"	"["""", """"]"	aGeliodi me idinitibeci .	aG@	90ca38d8-e063-4c98-af51-4b9022ade506
oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae	"[""aG"", ""i"", ""d"", ""ejona"", ""Ga""]"	"[""Neg"", ""Abs"", ""Inv"", ""v"", ""Plu""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""aG"", ""i"", ""ca""]"	"["""", """", """"]"	nGijo lodajo ajo lodowa aGica digoida liGeladi	aG@	0c7e64fb-f070-4faa-a12a-c110cdf4bf16
oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae	"[""aG"", ""i"", ""d"", ""ejona"", ""Ga""]"	"[""Neg"", ""Abs"", ""Inv"", ""v"", ""Plu""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""aG"", ""i"", ""d"", ""nini"", ""tibeci""]"	"["""", """", """", """", ""Dir""]"	ee aGidininitibeci	aG@	c4d99cf1-e781-4efb-83ff-4a0ab873b7ec
oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae	"[""aG"", ""i"", ""d"", ""ejona"", ""Ga""]"	"[""Neg"", ""Abs"", ""Inv"", ""v"", ""Plu""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""aG"", ""ee""]"	"["""", """"]"	aGee eliodi niinikeGegi	aG@	969ba2f3-88dc-417e-ad3f-16ce88b4c762
oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae	"[""aG"", ""i"", ""d"", ""ejona"", ""Ga""]"	"[""Neg"", ""Abs"", ""Inv"", ""v"", ""Plu""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""aG"", ""eyo""]"	"["""", """"]"	aGeyo mica inikGigi	aG@	27d94732-46ea-4286-a1d4-b2861806a579
oko aidejonaGa midi Godoigi	341bf09a-2ef8-455a-8b6b-88373c617dae	"[""aG"", ""i"", ""d"", ""ejona"", ""Ga""]"	"[""Neg"", ""Abs"", ""Inv"", ""v"", ""Plu""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""aG"", ""ije""]"	"["""", """"]"	aGide jonaGa midi Godoigi	aG@	fbae0277-3aad-4812-9229-94179b5a97a0
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/ped-gramm.json	ped-gramm	"[""""]"	"[""""]"	liGeladi ipegitege niweiigi nigotaGa .	nigotaGa	ef4d298a-643b-4c08-9bdd-f7c6b63ac9ec
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/ped-gramm.json	ped-gramm	"[""""]"	"[""""]"	liGeladi ipegitegi niweiigi nigotaGa .	nigotaGa	8b1a9983-4dfd-49e8-9285-92c56c84b652
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""""]"	"[""""]"	Te ee nigotaGa	nigotaGa	3a7e213b-323e-4694-bad9-47091f3533f5
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""""]"	"[""""]"	liGeladi ipegitege nakidi nigotaGa	nigotaGa	55fe3cf7-0293-48e6-aa78-44822f50347e
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""""]"	"[""""]"	liGeladi ipegitege nakidi nigotaGa	nigotaGa	c0441856-b259-4d76-a88e-33a7e211b208
ligeladi ipegitege niweiigi nigotaGa	c1b350df-ed1a-4e3b-89a8-a6fa9ca8382e	"[""n"", ""gota"", ""Ga""]"	"[""Ant"", ""n"", ""Sgv""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""""]"	"[""""]"	nigotaGa liGeladi ipegitege akiidi	nigotaGa	9527d53d-7184-4b08-8bb2-51b7fff1429d
ica liGeladi ipegitegi	2fff1f23-4e6f-401c-8b74-6a17ff6a391a	"[""i"", ""pegi"", ""tegi""]"	"[""Erg"", ""v"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""i"", ""pegi"", ""tegi""]"	"["""", """", """"]"	ijo lemé Maria ipegitegi weiigi	ipegitegi	6599689a-3fbe-4598-8827-78aceeff3931
etogo aneiwaGadi adakake lojedi .	2c0248b3-8f68-46e9-b41c-9f7807572c87	"[""ane"", ""iwa"", ""Gadi""]"	"[""Wpro"", ""v"", ""Der""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""ane"", ""iwaGadi""]"	"["""", """"]"	Etogo aneiwaGadi adakake lojedi	ane@	e349508c-4d86-48b8-9918-057988755e77
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""me"", ""a"", ""di""]"	"["""", """", """"]"	NaGajo lomigo Pedilo idei madi niwatece	me@	559ba85f-edfc-48dc-9bfb-0c3f8e5ad887
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""me"", ""a"", ""di""]"	"["""", """", """"]"	NaGajo lomigo niganigawanigi madi niwatece	me@	92838eda-ef9b-4f05-a5eb-38a4709c0337
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""me"", ""ijotaGa""]"	"["""", """"]"	niGijoa lionaGa iwaalo idei mijotaGa	me@	0de3d311-348a-4107-a191-9fc3f960c249
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""me"", ""ninitibeci""]"	"["""", """"]"	naGana eliodi meninitibeci	me@	24a9e039-79d0-4026-8824-0d061c2b21ee
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""me"", ""i"", ""di""]"	"["""", """", """"]"	nigidiwa okokodi ligetedi midi niwigo libinienaGa	me@	79cb0e55-9c06-4cb1-91b3-2b5233e1678f
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""me"", ""adataGa""]"	"["""", """"]"	Ite ee madataGa	me@	42671da9-e433-4319-86a0-2a2cb8777a40
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""me"", ""idataGa""]"	"["""", """"]"	Ite ee midataGa	me@	e58e38a7-f117-48f1-8a17-9d896867fe60
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""me"", ""i"", ""di""]"	"["""", """", """"]"	oko aidejonaGa midi Godoigi	me@	341bf09a-2ef8-455a-8b6b-88373c617dae
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""me"", ""i"", ""di""]"	"["""", """", """"]"	aidejonaGa midi Godoigi	me@	dff00f05-7be1-4d62-b3ed-b8a8870851e9
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""me"", ""i"", ""di""]"	"["""", """", """"]"	niGijo nelokodi Maria idei midi akiidi	me@	3ab5703a-eb5c-48d2-b75b-992da5e60dd6
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/hil-data.json	hil-data	"[""me"", ""ee"", ""taGa""]"	"["""", ""Pro"", ""Apl""]"	NiGidi lionaGa iwaalo etidi meetaGa	me@	13f012b0-ef62-4477-b4bd-00e000484874
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""me"", ""a"", ""ni"", ""taGa""]"	"["""", ""Gnr"", ""Ncl"", ""Apl""]"	niGijo nigaanigawaanigi manitaGa lomigo niwatece	me@	235440ba-548e-4df6-8d9e-214cc8714f8f
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""me"", ""a"", ""ni"", ""taGa""]"	"["""", ""Gnr"", ""Ncl"", ""Apl""]"	Eyo manitaGa nigotaGa	me@	d021bede-064b-4fd5-bb33-6c7cd4279c1b
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""me"", ""initaGa""]"	"[""c"", """"]"	niGijoa lionigipi iwaalo idei minitaGa	me@	e5c65dad-8b04-46da-b965-4921887cbca4
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""me"", ""a"", ""ni"", ""taGa""]"	"["""", ""Gnr"", ""Ncl"", ""Apl""]"	dibixodi idei manitaGa	me@	8c5dd09c-d010-4c48-9601-9d3b14c61119
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""me"", ""a"", ""ni"", ""taGa""]"	"["""", ""Gnr"", ""Ncl"", ""Apl""]"	etee manitaGa	me@	e7f4ab65-14d7-44f5-a197-c99c4ab173cd
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""me"", ""i"", ""ni"", ""taGa""]"	"["""", ""Gnr"", ""Ncl"", ""Apl""]"	etee minitaGa	me@	7aa17dd7-2c26-4df9-8f90-65d8d58e2c59
Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d	"[""me"", ""i"", ""ca"", ""wa"", ""taGa""]"	"[""c"", ""Gnr"", ""Ncl"", ""Plu"", ""Apl""]"	token_with_incomplete_splits_but_fuller_analysis_elsewhere	data/van-data.json	van-data	"[""me"", ""i"", ""ca""]"	"["""", """", """"]"	aGeewi mica iniKGigi	me@	42df6a83-6ae1-49b2-bd99-fbed7e2a083b
