source_id	source_tag	split_tag_sequence	count
ped-gramm	N$	Gen|n	41
van-data	N$	Gen|n	23
ped-gramm	D	Gnr|Ncl	20
van-data	D	Gnr|Ncl	18
hil-data	N$	Gen|n	16
hil-data	VB	Erg|v	16
ped-gramm	VBAPL	Erg|v|Apl	10
hil-data	D	Anf|Gnr|Ncl	10
hil-data	D	Dem|Gnr|Ncl	10
van-data	VB	Abs|v	10
ped-gramm	N	Ant|n	9
hil-data	PRO	Pro	9
ped-gramm	N	n	7
ped-gramm	N$	Ant|n	7
ped-gramm	VB	Erg|v	7
van-data	N$	Ant|n	7
hil-data	C	||	6
hil-data	VB	Inv|v	6
ped-gramm	N$	Gen|n|Dim	5
van-data	VB	Erg|v	5
van-data	N	Ant|n	5
van-data	N$	Gen|n|Dim|Gnr	5
van-data	C	|Gnr|Ncl|Apl	5
van-data	VBAPL	Erg|v|Apl	5
van-data	PRO	Pro	5
ped-gramm	VB	Abs|v	4
ped-gramm	VB	v|Gnr|Ncl	4
hil-data	N	n|Cla	4
hil-data	N$	Gen|n|Dim|Plu	4
hil-data	D	Anf|Gnr|Ncl|Plu	4
hil-data	N$	Gen|n|Plu	4
hil-data	C	|	4
hil-data	D	Gnr|Ncl	4
hil-data	VBAPL	Erg|v|Apl	4
van-data	N	n|Cla	4
van-data	D	Dem|Gnr|Ncl	4
van-data	VB	Inv|v	4
van-data	N	n|Plu	4
van-data	C	||	4
ped-gramm	N$	Gen|n|Plu	3
ped-gramm	N	n|Plu	3
hil-data	N$	Gen|n|Dim	3
hil-data	N$	Ant|n	3
hil-data	NEG	|	3
hil-data	VB	v|Gnr|Ncl	3
van-data	N	n	3
van-data	T	PFV	3
van-data	N	n|Dim|Gnr|Dim|Gnr	3
van-data	D	Anf|Gnr|Ncl	3
van-data	N$	Gen|n|Plu	3
van-data	N$	Gen|n|Dim|Gnr|Plu	3
van-data	D	Gnr|Ncl|Plu	3
van-data	NEG	|	3
van-data	N$	Ant|n|Sgv	3
