sent_ordinal	sent_uid	sent_text	text_pt_br	visible	path	container_uid	container_id	container_title	token_ordinal	token_p	token_form	token_tag_source	token_level	token_gloss_br	split_obj_json	split_count	split_forms	split_tags	split_glosses_br	split_fns	split_idxs	chunk_memberships	proto_conllu_id	proto_conllu_form	proto_conllu_misc_json	proto_token_range
1	fcef38ed-be6b-4f2a-b5cf-fa4db625ecfb	Iwalo libiniena	A mulher está bonita .		$.pages[0].sentences[0]	ffef8450-e302-4882-8306-e5998d31f584			1	1	Iwalo	N	1	mulher		2	iwa|lo	n|Cla	mulher|cla	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
1	fcef38ed-be6b-4f2a-b5cf-fa4db625ecfb	Iwalo libiniena	A mulher está bonita .		$.pages[0].sentences[0]	ffef8450-e302-4882-8306-e5998d31f584			2	2	libiniena	N$	1	beleza		0						IP-MAT[l=0]|NP-PRD[l=1]				
2	31d3b4c0-4aab-4538-999b-b8ee85c34444	Iwalo ninitibeci	A mulher está feliz .		$.pages[0].sentences[1]	ffef8450-e302-4882-8306-e5998d31f584			1	1	Iwalo	N	1	mulher		2	iwa|lo	n|Cla	mulher|cla	|	|	IP-MAT[l=0]|NP[l=1]				
2	31d3b4c0-4aab-4538-999b-b8ee85c34444	Iwalo ninitibeci	A mulher está feliz .		$.pages[0].sentences[1]	ffef8450-e302-4882-8306-e5998d31f584			2	2	ninitibeci	VB	0	está feliz		0						IP-MAT[l=0]				
3	39f34955-a828-47d7-808d-b3b3565b42d6	Lotaǥa ǥanioxoa libinienaǥa	A palavra de seu irmão é bonita .		$.pages[0].sentences[2]	ffef8450-e302-4882-8306-e5998d31f584			1	1	Lotaǥa	N$	1			0						IP-MAT[l=0]|NP-SBJ[l=1]				
3	39f34955-a828-47d7-808d-b3b3565b42d6	Lotaǥa ǥanioxoa libinienaǥa	A palavra de seu irmão é bonita .		$.pages[0].sentences[2]	ffef8450-e302-4882-8306-e5998d31f584			2	2	ǥanioxoa	N$	1	seu irmão		2	Ga|nioxoa	Gnr|n	|	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
3	39f34955-a828-47d7-808d-b3b3565b42d6	Lotaǥa ǥanioxoa libinienaǥa	A palavra de seu irmão é bonita .		$.pages[0].sentences[2]	ffef8450-e302-4882-8306-e5998d31f584			3	3	libinienaǥa	N$	1	bonita		0						IP-MAT[l=0]|NP-PRD[l=1]				
4	d3ae6cfd-bec1-49f3-a0f9-4ca0744e3404	Lotaǥa ǥadodawa libinienaǥa	A palavra do seu marido é bonita .		$.pages[0].sentences[3]	ffef8450-e302-4882-8306-e5998d31f584			1	1	Lotaǥa	N$	1			0						IP-MAT[l=0]|NP-SBJ[l=1]				
4	d3ae6cfd-bec1-49f3-a0f9-4ca0744e3404	Lotaǥa ǥadodawa libinienaǥa	A palavra do seu marido é bonita .		$.pages[0].sentences[3]	ffef8450-e302-4882-8306-e5998d31f584			2	2	ǥadodawa	N$	1			0						IP-MAT[l=0]|NP-SBJ[l=1]				
4	d3ae6cfd-bec1-49f3-a0f9-4ca0744e3404	Lotaǥa ǥadodawa libinienaǥa	A palavra do seu marido é bonita .		$.pages[0].sentences[3]	ffef8450-e302-4882-8306-e5998d31f584			3	3	libinienaǥa	N$	1	bonita		0						IP-MAT[l=0]|NP-PRD[l=1]				
5	e349508c-4d86-48b8-9918-057988755e77	Etogo aneiwaǥadi adakake lojedi	A pesada canoa está barata .		$.pages[0].sentences[4]	ffef8450-e302-4882-8306-e5998d31f584			1	1	Etogo	N	1			0						IP-MAT[l=0]|NP-SBJ[l=1]				
5	e349508c-4d86-48b8-9918-057988755e77	Etogo aneiwaǥadi adakake lojedi	A pesada canoa está barata .		$.pages[0].sentences[4]	ffef8450-e302-4882-8306-e5998d31f584			2	2	ane@	WPRO	3		"{""v"": ""aneiwaǥadi"", ""t"": ""WPRO+VB"", ""idx"": 0}"	2	ane|iwaGadi	|	|	True|	|	IP-MAT[l=0]|NP-SBJ[l=1]|CP-REL[l=2]|WNP[l=3]				
5	e349508c-4d86-48b8-9918-057988755e77	Etogo aneiwaǥadi adakake lojedi	A pesada canoa está barata .		$.pages[0].sentences[4]	ffef8450-e302-4882-8306-e5998d31f584			3	3	*T*		4			0						IP-MAT[l=0]|NP-SBJ[l=1]|CP-REL[l=2]|IP-SUB[l=3]|NP-TRACE[l=4]				
5	e349508c-4d86-48b8-9918-057988755e77	Etogo aneiwaǥadi adakake lojedi	A pesada canoa está barata .		$.pages[0].sentences[4]	ffef8450-e302-4882-8306-e5998d31f584			4	4	@iwaGadi	VB	3		"{""idx"": 1}"	0						IP-MAT[l=0]|NP-SBJ[l=1]|CP-REL[l=2]|IP-SUB[l=3]				
5	e349508c-4d86-48b8-9918-057988755e77	Etogo aneiwaǥadi adakake lojedi	A pesada canoa está barata .		$.pages[0].sentences[4]	ffef8450-e302-4882-8306-e5998d31f584			5	5	aG@	NEG	4	não duro	"{""v"": ""adakake"", ""t"": ""NEG+ADJ"", ""idx"": 0}"	3	aG|d|akake	Neg|Inv|v	||	True||	||	IP-MAT[l=0]|NP-SBJ[l=1]|CP-REL[l=2]|IP-SUB[l=3]|NP[l=4]				
5	e349508c-4d86-48b8-9918-057988755e77	Etogo aneiwaǥadi adakake lojedi	A pesada canoa está barata .		$.pages[0].sentences[4]	ffef8450-e302-4882-8306-e5998d31f584			6	6	@dakake	ADJ	1		"{""idx"": 1}"	0						IP-MAT[l=0]|NP-PRD[l=1]				
5	e349508c-4d86-48b8-9918-057988755e77	Etogo aneiwaǥadi adakake lojedi	A pesada canoa está barata .		$.pages[0].sentences[4]	ffef8450-e302-4882-8306-e5998d31f584			7	7	lojedi	N$	1	vingança/preço		0						IP-MAT[l=0]|NP-PRD[l=1]				
6	1d10c633-e74d-4e27-ac23-6b6b2dde9647	Etogo ane iwaǥadi adakake loojedi	A canoa pesada é barata .		$.pages[0].sentences[5]	ffef8450-e302-4882-8306-e5998d31f584			1	1	Etogo	N	1			0						IP-MAT[l=0]|NP-SBJ[l=1]				
6	1d10c633-e74d-4e27-ac23-6b6b2dde9647	Etogo ane iwaǥadi adakake loojedi	A canoa pesada é barata .		$.pages[0].sentences[5]	ffef8450-e302-4882-8306-e5998d31f584			2	2	ane	WPRO	3	que 		0						IP-MAT[l=0]|NP-SBJ[l=1]|CP-REL[l=2]|WNP[l=3]				
6	1d10c633-e74d-4e27-ac23-6b6b2dde9647	Etogo ane iwaǥadi adakake loojedi	A canoa pesada é barata .		$.pages[0].sentences[5]	ffef8450-e302-4882-8306-e5998d31f584			3	3	*T*		4			0						IP-MAT[l=0]|NP-SBJ[l=1]|CP-REL[l=2]|IP-SUB[l=3]|NP-TRACE[l=4]				
6	1d10c633-e74d-4e27-ac23-6b6b2dde9647	Etogo ane iwaǥadi adakake loojedi	A canoa pesada é barata .		$.pages[0].sentences[5]	ffef8450-e302-4882-8306-e5998d31f584			4	4	iwaǥadi	VB	3			0						IP-MAT[l=0]|NP-SBJ[l=1]|CP-REL[l=2]|IP-SUB[l=3]				
6	1d10c633-e74d-4e27-ac23-6b6b2dde9647	Etogo ane iwaǥadi adakake loojedi	A canoa pesada é barata .		$.pages[0].sentences[5]	ffef8450-e302-4882-8306-e5998d31f584			5	5	aG@	NEG	4	não duro	"{""v"": ""adakake"", ""t"": ""NEG+ADJ"", ""idx"": 0}"	2	aG|akake	|Adj	|	|	|	IP-MAT[l=0]|NP-SBJ[l=1]|CP-REL[l=2]|IP-SUB[l=3]|NP[l=4]				
6	1d10c633-e74d-4e27-ac23-6b6b2dde9647	Etogo ane iwaǥadi adakake loojedi	A canoa pesada é barata .		$.pages[0].sentences[5]	ffef8450-e302-4882-8306-e5998d31f584			6	6	@akake	ADJ	1		"{""idx"": 1}"	0						IP-MAT[l=0]|NP-PRD[l=1]				
6	1d10c633-e74d-4e27-ac23-6b6b2dde9647	Etogo ane iwaǥadi adakake loojedi	A canoa pesada é barata .		$.pages[0].sentences[5]	ffef8450-e302-4882-8306-e5998d31f584			7	7	loojedi	N$	1	preço		0						IP-MAT[l=0]|NP-PRD[l=1]				
7	435e4b10-ab78-4ee3-84b0-7773dbe10bf7	ǥawenigi eliodi me libinienigi	A sua comida é muito bonita .		$.pages[0].sentences[6]	ffef8450-e302-4882-8306-e5998d31f584			1	1	ǥawenigi	N$	2			0						IP-MAT[l=0]|NP[l=1]|NP[l=2]				
7	435e4b10-ab78-4ee3-84b0-7773dbe10bf7	ǥawenigi eliodi me libinienigi	A sua comida é muito bonita .		$.pages[0].sentences[6]	ffef8450-e302-4882-8306-e5998d31f584			2	2	eliodi	Q	1	muito		0						IP-MAT[l=0]|NP[l=1]				
7	435e4b10-ab78-4ee3-84b0-7773dbe10bf7	ǥawenigi eliodi me libinienigi	A sua comida é muito bonita .		$.pages[0].sentences[6]	ffef8450-e302-4882-8306-e5998d31f584			3	3	me	C	2	que		0						IP-MAT[l=0]|NP[l=1]|CP-me[l=2]				
