sent_id	dependent_position	dependent	head_position	head	deprel	rule	gold_sent_id	sent_uid	gold_dependent_id	gold_dependent	gold_head_id	gold_head	gold_deprel	comparison	token_alignment
hil-data,0.3	2	Ganioxoa	1	LotaGa	nmod:poss	possessive-np-possessor	hil-data-3	39f34955-a828-47d7-808d-b3b3565b42d6	2	Ganioxoa	1	LotaGa	nmod:poss	MATCH	FINAL_PUNCT_IGNORED
hil-data,0.4	2	Gadodawa	1	LotaGa	nmod:poss	possessive-np-possessor	hil-data-4	d3ae6cfd-bec1-49f3-a0f9-4ca0744e3404	2	Gadodawa	1	LotaGa	nmod:poss	MATCH	FINAL_PUNCT_IGNORED
hil-data,0.8							hil-data-8	cf44903e-0c33-44bc-a146-1fb8a4ccb973	1	NiGijo	2	liwenigi	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
hil-data,0.9							hil-data-9	0ca977cd-2edf-45d9-b958-068648aebef9	1	NiGida	2	niwenigi	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
hil-data,0.10	1	NaGajo	2	lomigo	det	possessive-np-determiner	hil-data-10	559ba85f-edfc-48dc-9bfb-0c3f8e5ad887	1	NaGajo	2	lomigo	det	MATCH	FINAL_PUNCT_IGNORED
hil-data,0.10	3	Pedilo	2	lomigo	nmod:poss	possessive-np-possessor	hil-data-10	559ba85f-edfc-48dc-9bfb-0c3f8e5ad887	3	Pedilo	2	lomigo	nmod:poss	MATCH	FINAL_PUNCT_IGNORED
hil-data,0.10							hil-data-10	559ba85f-edfc-48dc-9bfb-0c3f8e5ad887	6	adi	7	niwatece	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
hil-data,0.11	1	NaGajo	2	lomigo	det	possessive-np-determiner	hil-data-11	92838eda-ef9b-4f05-a5eb-38a4709c0337	1	NaGajo	2	lomigo	det	MATCH	FINAL_PUNCT_IGNORED
hil-data,0.11	3	niganigawanigi	2	lomigo	nmod:poss	possessive-np-possessor	hil-data-11	92838eda-ef9b-4f05-a5eb-38a4709c0337	3	niganigawanigi	2	lomigo	nmod:poss	MATCH	FINAL_PUNCT_IGNORED
hil-data,0.11							hil-data-11	92838eda-ef9b-4f05-a5eb-38a4709c0337	5	adi	6	niwatece	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
hil-data,0.13	1	niGijoa	2	lionaGa	det	possessive-np-determiner		0de3d311-348a-4107-a191-9fc3f960c249						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.13	3	iwaalo	2	lionaGa	nmod:poss	possessive-np-possessor		0de3d311-348a-4107-a191-9fc3f960c249						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.33	1	NiGida	2	lodajo	det	possessive-np-determiner	hil-data-33	3a27c7c6-ecd6-45c0-a71e-b4aa2a242a3d	1	NiGida	2	lodajo	det	MATCH	FINAL_PUNCT_IGNORED
hil-data,0.33	3	lodawa	2	lodajo	nmod:poss	possessive-np-possessor	hil-data-33	3a27c7c6-ecd6-45c0-a71e-b4aa2a242a3d	3	lodawa	2	lodajo	nmod:poss	MATCH	FINAL_PUNCT_IGNORED
hil-data,0.34	2	niganigawanigi	1	liwigo	nmod:poss	possessive-np-possessor	hil-data-34	64f2c803-b436-4202-b4c7-acf5c7205bc3	2	niganigawanigi	1	liwigo	nmod:poss	MATCH	FINAL_PUNCT_IGNORED
hil-data,0.35							hil-data-35	8bad7bc3-f82f-46c0-9e63-c780104b11e2	1	naGani	2	wetiGa	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
hil-data,0.36							hil-data-36	768a3635-dcaf-4210-b236-73568abadbdb	1	NaGani	2	wetiGa	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
hil-data,0.37							hil-data-37	e5f90fbc-14e8-4c6f-9e07-61fbf67d042f	1	NiGinoa	2	wetiadi	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
hil-data,0.38							hil-data-38	f4b854f9-c3c6-4e88-8a9b-ca73fcba8d46	1	NaGani	2	wetiGa	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
hil-data,0.39							hil-data-39	38f73c1c-ddfb-4153-9310-d24214cd68e7	1	NaGani	2	wetiGa	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
hil-data,0.41	1	NiGidoa	3	lotiidi	det	possessive-np-determiner		8dda04f0-f7e8-46d6-b41d-b65dd214f01b						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.41	2	waca	3	lotiidi	nmod:poss	possessive-np-possessor		8dda04f0-f7e8-46d6-b41d-b65dd214f01b						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.44	1	NiGidiwa	3	lixagotaGaGa	det	possessive-np-determiner	hil-data-44	83fdcd4c-338f-4a9f-8545-da8539e67e9d	1	NiGidiwa	2	noGojedi	det	HEAD_MISMATCH	FINAL_PUNCT_IGNORED
hil-data,0.44	2	noGojedi	3	lixagotaGaGa	nmod:poss	possessive-np-possessor	hil-data-44	83fdcd4c-338f-4a9f-8545-da8539e67e9d	2	noGojedi	3	lixagotaGaGa	nmod:poss	MATCH	FINAL_PUNCT_IGNORED
hil-data,0.60	1	niGijo	2	nelokodi	det	possessive-np-determiner		3ab5703a-eb5c-48d2-b75b-992da5e60dd6						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.60	3	Maria	2	nelokodi	nmod:poss	possessive-np-possessor		3ab5703a-eb5c-48d2-b75b-992da5e60dd6						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.62	1	NaGada	2	libiwe	det	possessive-np-determiner		d5dcd2bf-a3d0-4074-a241-f706b153134f						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.62	3	niale	2	libiwe	nmod:poss	possessive-np-possessor		d5dcd2bf-a3d0-4074-a241-f706b153134f						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.64	1	Nigijoa	2	lianaGa	det	possessive-np-determiner		d0cb9423-93bb-4b45-a02a-fee23a6dd8bb						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.64	3	Maria	2	lianaGa	nmod:poss	possessive-np-possessor		d0cb9423-93bb-4b45-a02a-fee23a6dd8bb						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.65	1	NiGidi	2	lionaGa	det	possessive-np-determiner		13f012b0-ef62-4477-b4bd-00e000484874						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.65	3	iwaalo	2	lionaGa	nmod:poss	possessive-np-possessor		13f012b0-ef62-4477-b4bd-00e000484874						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.66	4	nigotaGa	3	nakidi	nmod:poss	possessive-np-possessor		55fe3cf7-0293-48e6-aa78-44822f50347e						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.67	4	nigotaGa	3	nakidi	nmod:poss	possessive-np-possessor		c0441856-b259-4d76-a88e-33a7e211b208						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.68	2	liGeladi	1	nigotaGa	nmod:poss	possessive-np-possessor		9527d53d-7184-4b08-8bb2-51b7fff1429d						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.69	4	Pedilo	3	liwatece	nmod:poss	possessive-np-possessor		9669b093-f0a2-4187-9063-cec9ba4c0196						NO_GOLD_SENTENCE	NOT_ALIGNED
hil-data,0.70	5	ideloGole	4	liwatece	nmod:poss	possessive-np-possessor		529c167b-b3a7-40cc-af76-c7522719c6d4						NO_GOLD_SENTENCE	NOT_ALIGNED
ped-gramm,0.1							ped-gramm-1	ed98d4d1-638c-4377-8c6d-5511855636d1	1	ajo	2	liwatece	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
ped-gramm,0.2							ped-gramm-2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	1	ajo	2	liwatece	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
ped-gramm,0.3							ped-gramm-3	49347527-d19d-4689-bff1-ba3e497e7b1f	1	ajo	2	niwatece	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
ped-gramm,0.6							ped-gramm-6	1b99ecb9-5656-4c38-b60b-fbbe643708fb	1	ajo	2	niwatece	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
ped-gramm,0.7	2	Maria	1	liGeladi	nmod:poss	possessive-np-possessor	ped-gramm-7	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9	2	Maria	1	liGeladi	nmod:poss	MATCH	FINAL_PUNCT_IGNORED
ped-gramm,0.8							ped-gramm-8	79a6cd4e-b585-437a-9084-1fa077dec3b6	1	ica	2	liGeladi	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
ped-gramm,0.10							ped-gramm-10	2fff1f23-4e6f-401c-8b74-6a17ff6a391a	1	ica	2	liGeladi	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
ped-gramm,0.12							ped-gramm-12	070d221f-f72d-4055-9c82-ddc383743e6a	1	ica	2	looligi	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
ped-gramm,0.13							ped-gramm-13	68277d1f-c30b-4c4f-ba9e-c2883cc133af	1	ica	2	looligi	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
ped-gramm,0.14							ped-gramm-14	5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5	1	ica	2	looligi	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
ped-gramm,0.15							ped-gramm-15	c5bd2cb2-e53b-40e4-9159-6dacde49c1b6	1	ica	2	looligi	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
ped-gramm,0.18	1	ica	2	lideGegi	det	possessive-np-determiner	ped-gramm-18	582429f2-67d5-4077-b209-6deb7b5df54f	1	ica	2	lideGegi	det	MATCH	FINAL_PUNCT_IGNORED
ped-gramm,0.18	3	loligi	2	lideGegi	nmod:poss	possessive-np-possessor	ped-gramm-18	582429f2-67d5-4077-b209-6deb7b5df54f	3	loligi	2	lideGegi	nmod:poss	MATCH	FINAL_PUNCT_IGNORED
ped-gramm,0.19							ped-gramm-19	0f478381-6858-463d-94cc-903e9dc879f9	1	ica	2	liwigo	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
ped-gramm,0.20							ped-gramm-20	55551636-8ed3-4545-8510-d8dbfd817a1a	1	ica	2	niwigo	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
ped-gramm,0.22	1	ica	2	nioladi	det	possessive-np-determiner	ped-gramm-22	881131dd-3f70-411a-ac7e-85557139d1e3	1	ica	2	nioladi	det	MATCH	FINAL_PUNCT_IGNORED
ped-gramm,0.22	3	nioxoa	2	nioladi	nmod:poss	possessive-np-possessor	ped-gramm-22	881131dd-3f70-411a-ac7e-85557139d1e3	3	nioxoa	2	nioladi	nmod:poss	MATCH	FINAL_PUNCT_IGNORED
ped-gramm,0.23	1	ica	2	nioladi	det	possessive-np-determiner	ped-gramm-23	95a7d135-4be0-463d-b443-76cc5828fc89	1	ica	2	nioladi	det	MATCH	FINAL_PUNCT_IGNORED
ped-gramm,0.23	3	lodawa	2	nioladi	nmod:poss	possessive-np-possessor	ped-gramm-23	95a7d135-4be0-463d-b443-76cc5828fc89	3	lodawa	2	nioladi	nmod:poss	MATCH	FINAL_PUNCT_IGNORED
ped-gramm,0.38							ped-gramm-38	46bbf9a8-c650-4e4b-a44f-78bfe6c5d979	1	ijo	2	Gatodi	det	GOLD_ONLY	OK
ped-gramm,0.39							ped-gramm-39	4ffc2f68-0474-488f-a94e-4065f952482a	1	ijotawece	3	akiidi	det	GOLD_ONLY	OK
ped-gramm,0.40							ped-gramm-40	10e550d6-df13-4527-8aee-aa23e3f2fcdd	2	digoida	3	weiigi	det	GOLD_ONLY	OK
ped-gramm,0.43	2	GanaginaGa	1	lotaGa	nmod:poss	possessive-np-possessor	ped-gramm-43	19401990-aa1d-4cf5-bea1-122254c6b77a	2	GanaginaGa	1	lotaGa	nmod:poss	MATCH	OK
ped-gramm,0.46	2	João	1	liGeladi	nmod:poss	possessive-np-possessor	ped-gramm-46	4e0112b1-baf1-4a7a-bf9e-88fabbe1edc5	2	João	1	liGeladi	nmod:poss	MATCH	OK
ped-gramm,0.47	3	niweiigi	4	nigotaGa	nmod:poss	possessive-np-possessor	ped-gramm-47	ef4d298a-643b-4c08-9bdd-f7c6b63ac9ec	3	niweiigi	4	nigotaGa	nmod:poss	MATCH	OK
ped-gramm,0.48	4	nigotaGa	3	niweiigi	nmod:poss	possessive-np-possessor	ped-gramm-48	8b1a9983-4dfd-49e8-9285-92c56c84b652	4	nigotaGa	3	niweiigi	nmod:poss	MATCH	OK
ped-gramm,0.55	1	niGidowa	3	lotiidi	det	possessive-np-determiner		d3e098e5-4edd-4c24-81cf-78ff4a4d398c						NO_GOLD_SENTENCE	NOT_ALIGNED
ped-gramm,0.55	2	waca	3	lotiidi	nmod:poss	possessive-np-possessor		d3e098e5-4edd-4c24-81cf-78ff4a4d398c						NO_GOLD_SENTENCE	NOT_ALIGNED
van-data,0.1							van-data-1	a7e338a1-5403-40d4-b169-c840cf193aae	2	digoida	3	weiigi	det	GOLD_ONLY	FINAL_PUNCT_IGNORED
