source_id	sent_ordinal	sent_uid	sent_text	text_pt_br	visible	path	container_uid	container_id	container_title	token_ordinal	token_p	token_form	token_tag_source	token_level	token_gloss_br	split_obj_json	split_count	split_forms	split_tags	split_glosses_br	split_fns	split_idxs	chunk_memberships	proto_conllu_id	proto_conllu_form	proto_conllu_misc_json	proto_token_range
van-data	1	a7e338a1-5403-40d4-b169-c840cf193aae	iGeladi digoida weiigi	Minha casa é no rio		$.pages[0].sentences[0]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			1	1	iGeladi	N$	2	minha casa		2	i|Geladi	Gen|n	1s|casa	|	|	IP-MAT[l=0]|NP[l=1]|NP[l=2]				
van-data	1	a7e338a1-5403-40d4-b169-c840cf193aae	iGeladi digoida weiigi	Minha casa é no rio		$.pages[0].sentences[0]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			2	2	digoida	D	1	nele (cidade/local)		3	digo|i|da	|Gnr|Ncl	|M|em_pé	||	||	IP-MAT[l=0]|NP[l=1]				
van-data	1	a7e338a1-5403-40d4-b169-c840cf193aae	iGeladi digoida weiigi	Minha casa é no rio		$.pages[0].sentences[0]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			3	3	weiigi	N	1	lagoa		1	weiigi	n	lagoa			IP-MAT[l=0]|NP[l=1]				
van-data	2	d07f0db7-963e-47ab-ab3f-36614732bacd	iGeladi idei weiigi	Minha casa é no rio		$.pages[0].sentences[1]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			1	1	iGeladi	N$	1	minha casa		2	i|Geladi	Gen|n	1s|casa	|	|	IP-MAT[l=0]|NP[l=1]				
van-data	2	d07f0db7-963e-47ab-ab3f-36614732bacd	iGeladi idei weiigi	Minha casa é no rio		$.pages[0].sentences[1]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			2	2	idei	VB	0	fica		2	i|dei	Erg|v	3|ficar(permanente)	|	|	IP-MAT[l=0]				
van-data	2	d07f0db7-963e-47ab-ab3f-36614732bacd	iGeladi idei weiigi	Minha casa é no rio		$.pages[0].sentences[1]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			3	3	weiigi	N	1	lagoa		0						IP-MAT[l=0]|NP[l=1]				
van-data	3	f50b632e-fc1a-4ec0-b8b3-610dab7be736	iGeladi ideaGi weiigi	Minha casa é no rio		$.pages[0].sentences[2]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			1	1	iGeladi	N$	1	minha casa		2	i|Geladi	Gen|n	1s|casa	|	|	IP-MAT[l=0]|NP[l=1]				
van-data	3	f50b632e-fc1a-4ec0-b8b3-610dab7be736	iGeladi ideaGi weiigi	Minha casa é no rio		$.pages[0].sentences[2]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			2	2	ideaGi	VB	0			0						IP-MAT[l=0]				
van-data	3	f50b632e-fc1a-4ec0-b8b3-610dab7be736	iGeladi ideaGi weiigi	Minha casa é no rio		$.pages[0].sentences[2]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			3	3	weiigi	N	1	lagoa		0						IP-MAT[l=0]|NP[l=1]				
van-data	4	d26cfc71-a117-4817-9f35-4a7d23fd1f88	iwaalo ja libiniena	a mulher está bonita		$.pages[0].sentences[3]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			1	1	iwaalo	N	1	mulher		2	iwaa|lo	n|Cla	mulher|Fem	|	|	IP-MAT[l=0]|NP[l=1]				
van-data	4	d26cfc71-a117-4817-9f35-4a7d23fd1f88	iwaalo ja libiniena	a mulher está bonita		$.pages[0].sentences[3]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			2	2	ja	T	0	já		1	jaG	PFV				IP-MAT[l=0]				
van-data	4	d26cfc71-a117-4817-9f35-4a7d23fd1f88	iwaalo ja libiniena	a mulher está bonita		$.pages[0].sentences[3]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			3	3	libiniena	N$	1	beleza		0						IP-MAT[l=0]|NP[l=1]				
van-data	5	e3b84bb7-7e6e-474c-9ad6-c6a47b409a5a	iwaalo ja ninitibeke	a mulher está feliz		$.pages[0].sentences[4]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			1	1	iwaalo	N		mulher		2	iwaa|lo	n|Cla	mulher|cla	|	|	IP-MAT				
van-data	5	e3b84bb7-7e6e-474c-9ad6-c6a47b409a5a	iwaalo ja ninitibeke	a mulher está feliz		$.pages[0].sentences[4]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			2	2	ja	T		já		1	jaG	PFV				IP-MAT				
van-data	5	e3b84bb7-7e6e-474c-9ad6-c6a47b409a5a	iwaalo ja ninitibeke	a mulher está feliz		$.pages[0].sentences[4]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			3	3	ninitibeke	VB				0						IP-MAT				
van-data	6	3e518fdb-d852-41e5-87a4-f8778597c2a1	lotaGa GanaaginaGa libinienaGa	a palavra de seu irmão é bonita		$.pages[0].sentences[5]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			1	1	lotaGa	N$	1	palavra del(e|a)		2	l|otaGa	Gen|n	3|palavra	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
van-data	6	3e518fdb-d852-41e5-87a4-f8778597c2a1	lotaGa GanaaginaGa libinienaGa	a palavra de seu irmão é bonita		$.pages[0].sentences[5]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			2	2	GanaaginaGa	N$	1	teu irmão		3	Ga|n|aaginaGa	Gen|Ant|n	2||homem	||	||	IP-MAT[l=0]|NP-SBJ[l=1]				
van-data	6	3e518fdb-d852-41e5-87a4-f8778597c2a1	lotaGa GanaaginaGa libinienaGa	a palavra de seu irmão é bonita		$.pages[0].sentences[5]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			3	3	libinienaGa	N$	1	bonita		3	l|binie|naGa	Gen|n|Dim	3|beleza|F	||	||	IP-MAT[l=0]|NP-PRD[l=1]				
van-data	7	ee540050-e6fa-424e-9252-fd0b9312769d	lotaGa Gadodawa libinienaGa	a palavra do seu marido é bonita		$.pages[0].sentences[6]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			1	1	lotaGa	N$	1	palavra del(e|a)		2	l|otaGa	Gen|n	3|palavra	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
van-data	7	ee540050-e6fa-424e-9252-fd0b9312769d	lotaGa Gadodawa libinienaGa	a palavra do seu marido é bonita		$.pages[0].sentences[6]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			2	2	Gadodawa	N$	1	seu marido		2	Gad|odawa	Gen|n	2|marido|esposa	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
van-data	7	ee540050-e6fa-424e-9252-fd0b9312769d	lotaGa Gadodawa libinienaGa	a palavra do seu marido é bonita		$.pages[0].sentences[6]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			3	3	libinienaGa	N$	1	bonita		4	l|binie|na|Ga	Gen|n|Dim|Plu	3|beleza||PL	|||	|||	IP-MAT[l=0]|NP-PRD[l=1]				
van-data	8	947061b4-7b73-4612-8aa8-0af0e04cbc85	niwatece iwaGadi noxilece lojetedi	a pesada canoa está barata		$.pages[0].sentences[7]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			1	1	niwatece	N$	1	canoa		2	n|watece	Ant|n	|canoa	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
van-data	8	947061b4-7b73-4612-8aa8-0af0e04cbc85	niwatece iwaGadi noxilece lojetedi	a pesada canoa está barata		$.pages[0].sentences[7]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			2	2	iwaGadi	VB	0	está pesada		2	i|waGadi	Abs|v	3|pesar	|	|	IP-MAT[l=0]				
van-data	8	947061b4-7b73-4612-8aa8-0af0e04cbc85	niwatece iwaGadi noxilece lojetedi	a pesada canoa está barata		$.pages[0].sentences[7]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			3	3	noxilece	VB	1	baixou/diminuiu		2	n|oxilece	Dir|v	hither|diminuir	|	|	IP-MAT[l=0]|IP[l=1]				
van-data	8	947061b4-7b73-4612-8aa8-0af0e04cbc85	niwatece iwaGadi noxilece lojetedi	a pesada canoa está barata		$.pages[0].sentences[7]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			4	4	lojetedi	N$	2	seu preço/vingança		3	l|oje|tedi	||	||	||	||	IP-MAT[l=0]|IP[l=1]|NP[l=2]				
van-data	9	2c026af9-b8a1-4389-b658-00113b070dee	niwatece liwaGatena lodejedi	a canoa pesada barata		$.pages[0].sentences[8]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			1	1	niwatece	N$	1	canoa		2	n|watece	Ant|n	|canoa	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
van-data	9	2c026af9-b8a1-4389-b658-00113b070dee	niwatece liwaGatena lodejedi	a canoa pesada barata		$.pages[0].sentences[8]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			2	2	liwaGatena	N$	1	seu peso		3	l|iwaaGadi|tena	Gen|v|Der	||	||	||	IP-MAT[l=0]|NP-SBJ[l=1]				
van-data	9	2c026af9-b8a1-4389-b658-00113b070dee	niwatece liwaGatena lodejedi	a canoa pesada barata		$.pages[0].sentences[8]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			3	3	lodejedi	N$	1	seu preço		0						IP-MAT[l=0]|NP-PRD[l=1]				
van-data	10	0c38eab8-c6b0-4f02-bf05-27ea6285fe70	Gawenigi eliodi me libinienigi	a sua comida é muito bonita		$.pages[0].sentences[9]	9d0f60a9-8c32-44c0-ac68-0b5d5b993db8			1	1	Gawenigi	N$	1			0						IP-MAT[l=0]|NP-SBJ[l=1]				
