source_id	sent_ordinal	sent_uid	sent_text	text_pt_br	visible	path	container_uid	container_id	container_title	token_ordinal	token_p	token_form	token_tag_source	token_level	token_gloss_br	split_obj_json	split_count	split_forms	split_tags	split_glosses_br	split_fns	split_idxs	chunk_memberships	proto_conllu_id	proto_conllu_form	proto_conllu_misc_json	proto_token_range
ped-gramm	1	ed98d4d1-638c-4377-8c6d-5511855636d1	ajo liwatece ja iwaGadi	A canoa dele/a é pesada		$.pages[0].sentences[0]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ajo	D	1	a		2	a|jo	Gnr|Ncl	F|emfrente	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	1	ed98d4d1-638c-4377-8c6d-5511855636d1	ajo liwatece ja iwaGadi	A canoa dele/a é pesada		$.pages[0].sentences[0]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	liwatece	N$	1	canoa dela/dele		2	l|watece	Gen|canoa	3|n	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	1	ed98d4d1-638c-4377-8c6d-5511855636d1	ajo liwatece ja iwaGadi	A canoa dele/a é pesada		$.pages[0].sentences[0]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	ja	T	0	completivo/passado		1	jaG	PFV				IP-MAT[l=0]				
ped-gramm	1	ed98d4d1-638c-4377-8c6d-5511855636d1	ajo liwatece ja iwaGadi	A canoa dele/a é pesada		$.pages[0].sentences[0]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	iwaGadi	VB	0	pesar		2	i|waGadi	Abs|v	3|pesar	|	|	IP-MAT[l=0]				
ped-gramm	2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	ajo liwatece etadi weiigi	A canoa dele/a está no rio		$.pages[0].sentences[1]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ajo	D	1	a		2	a|jo	Gnr|Ncl	F|indo	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	ajo liwatece etadi weiigi	A canoa dele/a está no rio		$.pages[0].sentences[1]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	liwatece	N$	1	canoa dela/dele		2	l|watece	Gen|n	3|canoa	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	ajo liwatece etadi weiigi	A canoa dele/a está no rio		$.pages[0].sentences[1]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	etadi	VB	0	está		3	et|a|di	v|Gnr|Ncl	estar em/ficar em (temporário)|F|deitado	||	||	IP-MAT[l=0]				
ped-gramm	2	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	ajo liwatece etadi weiigi	A canoa dele/a está no rio		$.pages[0].sentences[1]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	weiigi	N	1	rio		1	weiigi	n	rio			IP-MAT[l=0]|NP[l=1]				
ped-gramm	3	49347527-d19d-4689-bff1-ba3e497e7b1f	ajo niwatece etadi digoida	A canoa está lá		$.pages[0].sentences[2]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ajo	D	1	a		2	a|jo	Gnr|Ncl	F|	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	3	49347527-d19d-4689-bff1-ba3e497e7b1f	ajo niwatece etadi digoida	A canoa está lá		$.pages[0].sentences[2]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	niwatece	N$	1	canoa		2	n|watece	Ant|n	|canoa	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	3	49347527-d19d-4689-bff1-ba3e497e7b1f	ajo niwatece etadi digoida	A canoa está lá		$.pages[0].sentences[2]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	etadi	VB	0	está		1	etadi	v	estar em/ficar em (temporário)			IP-MAT[l=0]				
ped-gramm	3	49347527-d19d-4689-bff1-ba3e497e7b1f	ajo niwatece etadi digoida	A canoa está lá		$.pages[0].sentences[2]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	digoida	D	1	nele (cidade/local)		3	digo|i|da	||	||	||	||	IP-MAT[l=0]|NP[l=1]				
ped-gramm	4	69948fe6-81f6-4faa-a344-8f8c47486943	niwatece iwaGadi	A canoa está pesada		$.pages[0].sentences[3]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	niwatece	N$	1	canoa		2	n|watece	Ant|n	|canoa	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	4	69948fe6-81f6-4faa-a344-8f8c47486943	niwatece iwaGadi	A canoa está pesada		$.pages[0].sentences[3]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	iwaGadi	VB	0	pesar		2	i|waGadi	Abs|v	3|pesar	|	|	IP-MAT[l=0]				
ped-gramm	5	b2e3ea43-0d68-46ee-9f33-938610cc8aec	niwatece etadi weiigi	A canoa está no rio		$.pages[0].sentences[4]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	niwatece	N$	1	canoa		2	n|watece	Ant|n	|canoa	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	5	b2e3ea43-0d68-46ee-9f33-938610cc8aec	niwatece etadi weiigi	A canoa está no rio		$.pages[0].sentences[4]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	etadi	VB	0	está		3	et|a|di	v|Gnr|Ncl	|F|	||	||	IP-MAT[l=0]				
ped-gramm	5	b2e3ea43-0d68-46ee-9f33-938610cc8aec	niwatece etadi weiigi	A canoa está no rio		$.pages[0].sentences[4]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	weiigi	N	1	rio		1						IP-MAT[l=0]|NP[l=1]				
ped-gramm	6	1b99ecb9-5656-4c38-b60b-fbbe643708fb	ajo niwatece ipegitege weiigi	A canoa está perto do rio		$.pages[0].sentences[5]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ajo	D	1	a		2	a|jo	Gnr|Ncl	|	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	6	1b99ecb9-5656-4c38-b60b-fbbe643708fb	ajo niwatece ipegitege weiigi	A canoa está perto do rio		$.pages[0].sentences[5]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	niwatece	N$	1	canoa		2	n|watece	Ant|n	|	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	6	1b99ecb9-5656-4c38-b60b-fbbe643708fb	ajo niwatece ipegitege weiigi	A canoa está perto do rio		$.pages[0].sentences[5]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	ipegitege	VBAPL	0	fica perto de		3	i|pegi|tece	Erg|v|Apl	3|aproximar|3	||	||	IP-MAT[l=0]				
ped-gramm	6	1b99ecb9-5656-4c38-b60b-fbbe643708fb	ajo niwatece ipegitege weiigi	A canoa está perto do rio		$.pages[0].sentences[5]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	weiigi	N	1	rio		1	weiigi	n	lagoa			IP-MAT[l=0]|NP-APL[l=1]				
ped-gramm	7	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9	liGeladi Maria aGipegetege	A casa de Maria não é perto dela		$.pages[0].sentences[6]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	liGeladi	N$	1	casa dela/dele		2	l|iGeladi	Gen|n	3|casa	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	7	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9	liGeladi Maria aGipegetege	A casa de Maria não é perto dela		$.pages[0].sentences[6]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	Maria	NPR	2			0						IP-MAT[l=0]|NP[l=1]|NP[l=2]				
ped-gramm	7	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9	liGeladi Maria aGipegetege	A casa de Maria não é perto dela		$.pages[0].sentences[6]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	aG@	NEG	0	não fica perto dela	"{""v"": ""aGipegetege"", ""t"": ""NEG+VBAPL"", ""idx"": 0}"	4	aG|i|pege|tege	Neg|Erg|v|Apl	|3|ficar_perto|3F	True|||	|||	IP-MAT[l=0]				
ped-gramm	7	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9	liGeladi Maria aGipegetege	A casa de Maria não é perto dela		$.pages[0].sentences[6]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	@ipegetege	VBAPL	0		"{""idx"": 1}"	0						IP-MAT[l=0]				
ped-gramm	8	79a6cd4e-b585-437a-9084-1fa077dec3b6	ica liGeladi ipegetege	A casa está perto dela		$.pages[0].sentences[7]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ica	D	1	a		2	i|ca	Gnr|Ncl	Masc|ausente	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	8	79a6cd4e-b585-437a-9084-1fa077dec3b6	ica liGeladi ipegetege	A casa está perto dela		$.pages[0].sentences[7]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	liGeladi	N$	1	sua casa		2	l|Geladi	Gen|n	3|casa	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	8	79a6cd4e-b585-437a-9084-1fa077dec3b6	ica liGeladi ipegetege	A casa está perto dela		$.pages[0].sentences[7]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	ipegetege	VBAPL	0			3	i|pege|tege	Erg|v|Apl	|aproximar|aplicativo de 3 pessoa feminino	||	||	IP-MAT[l=0]				
ped-gramm	9	e9d6dfb6-656d-44aa-ba17-86289fd72268	liGeladi idei nigotaGa	A casa fica perto da cidade		$.pages[0].sentences[8]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	liGeladi	N$	1	casa dela/dele		2	l|Geladi	Gen|n	3|casa	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	9	e9d6dfb6-656d-44aa-ba17-86289fd72268	liGeladi idei nigotaGa	A casa fica perto da cidade		$.pages[0].sentences[8]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	idei	VB	0	fica		2	i|dei	Erg|v	3|ficar(permanente)	|	|	IP-MAT[l=0]				
ped-gramm	9	e9d6dfb6-656d-44aa-ba17-86289fd72268	liGeladi idei nigotaGa	A casa fica perto da cidade		$.pages[0].sentences[8]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	nigotaGa	N	1	cidade		2	n|gotaGa	Ant|cidade	|	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	10	2fff1f23-4e6f-401c-8b74-6a17ff6a391a	ica liGeladi ipegitegi	a casa dela/dele fica perto dele 		$.pages[0].sentences[9]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ica	D	1	a		2	i|ca	Gnr|Ncl	Masc|ausente	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	10	2fff1f23-4e6f-401c-8b74-6a17ff6a391a	ica liGeladi ipegitegi	a casa dela/dele fica perto dele 		$.pages[0].sentences[9]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	liGeladi	N$	1	sua casa		2	l|iGeladi	Gen|n	3|casa	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	10	2fff1f23-4e6f-401c-8b74-6a17ff6a391a	ica liGeladi ipegitegi	a casa dela/dele fica perto dele 		$.pages[0].sentences[9]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	ipegitegi	VBAPL	0	fica perto de		3	i|pegi|tegi	Erg|v|Apl	3|ficar_perto|3M	||	||	IP-MAT[l=0]				
ped-gramm	11	fef391af-9e63-419f-8f81-057459193f49	ica Maria looligi alidi	a comida da Maria não está deliciosa (a não gostosura da comida da Maria)		$.pages[0].sentences[10]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ica	D	1	a		2	i|ca	Gnr|Ncl	Masc|ausente	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
ped-gramm	11	fef391af-9e63-419f-8f81-057459193f49	ica Maria looligi alidi	a comida da Maria não está deliciosa (a não gostosura da comida da Maria)		$.pages[0].sentences[10]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	Maria	NPR	1	Maria		0						IP-MAT[l=0]|NP-SBJ[l=1]				
ped-gramm	11	fef391af-9e63-419f-8f81-057459193f49	ica Maria looligi alidi	a comida da Maria não está deliciosa (a não gostosura da comida da Maria)		$.pages[0].sentences[10]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	looligi	N$	1	sua comida		2	l|ooligi	Gen|n	3|comida	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
ped-gramm	11	fef391af-9e63-419f-8f81-057459193f49	ica Maria looligi alidi	a comida da Maria não está deliciosa (a não gostosura da comida da Maria)		$.pages[0].sentences[10]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	aG@	NEG	0	não sua gostosura	"{""v"": ""alidi"", ""t"": ""NEG+N$"", ""idx"": 0}"	3	aG|l|idi	Neg|Gen|n	|3|gostosura	True||	||	IP-MAT[l=0]				
ped-gramm	11	fef391af-9e63-419f-8f81-057459193f49	ica Maria looligi alidi	a comida da Maria não está deliciosa (a não gostosura da comida da Maria)		$.pages[0].sentences[10]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			5	5	@lidi	N$	1		"{""idx"": 1}"	0						IP-MAT[l=0]|NP-PRD[l=1]				
ped-gramm	12	070d221f-f72d-4055-9c82-ddc383743e6a	ica looligi lidi	A comida está/é deliciosa (A gostosura da comida da Maria)		$.pages[0].sentences[11]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ica	D	1	uma		2	i|ca	Gnr|Ncl	|	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
ped-gramm	12	070d221f-f72d-4055-9c82-ddc383743e6a	ica looligi lidi	A comida está/é deliciosa (A gostosura da comida da Maria)		$.pages[0].sentences[11]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	looligi	N$	1	sua comida		2	l|ooligi	Gen|n	|comida	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
ped-gramm	12	070d221f-f72d-4055-9c82-ddc383743e6a	ica looligi lidi	A comida está/é deliciosa (A gostosura da comida da Maria)		$.pages[0].sentences[11]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	lidi	N$	1			2	l|idi	Gen|n	|gostosura	|	|	IP-MAT[l=0]|NP-PRD[l=1]				
ped-gramm	13	68277d1f-c30b-4c4f-ba9e-c2883cc133af	ica looligi dapico	A comida dela está quente		$.pages[0].sentences[12]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ica	D	1	a		2	i|ca	Gnr|Ncl	|	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	13	68277d1f-c30b-4c4f-ba9e-c2883cc133af	ica looligi dapico	A comida dela está quente		$.pages[0].sentences[12]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	looligi	N$	1	sua comida		2	l|ooligi	Gen|n	|	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	13	68277d1f-c30b-4c4f-ba9e-c2883cc133af	ica looligi dapico	A comida dela está quente		$.pages[0].sentences[12]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	dapico	VB	0	é quente		2	d|apicoGo	Inv|v	|quente	|	|	IP-MAT[l=0]				
ped-gramm	14	5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5	ica looligi ja dapico	a comida dela está quente		$.pages[0].sentences[13]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ica	D	1	a		2	i|ca	Gnr|Ncl	|	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	14	5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5	ica looligi ja dapico	a comida dela está quente		$.pages[0].sentences[13]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	looligi	N$	1	comida dele/dela		2	l|ooligi	Gen|n	|	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	14	5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5	ica looligi ja dapico	a comida dela está quente		$.pages[0].sentences[13]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	ja	T	0	perfectivo		1	jaG	t	perfectivo/completivo			IP-MAT[l=0]				
ped-gramm	14	5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5	ica looligi ja dapico	a comida dela está quente		$.pages[0].sentences[13]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	dapico	VB	0	é quente		2	d|apicoGo	Inv|v	|	|	|	IP-MAT[l=0]				
ped-gramm	15	c5bd2cb2-e53b-40e4-9159-6dacde49c1b6	ica looligi lideGegi	A comida é deliciosa (a gostosura da comida dela)		$.pages[0].sentences[14]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ica	D	1	uma		2	i|ca	Gnr|Ncl	Masc|ausente	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
ped-gramm	15	c5bd2cb2-e53b-40e4-9159-6dacde49c1b6	ica looligi lideGegi	A comida é deliciosa (a gostosura da comida dela)		$.pages[0].sentences[14]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	looligi	N$	1	sua comida		2	l|ooligi	Gen|n	3|comida	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
ped-gramm	15	c5bd2cb2-e53b-40e4-9159-6dacde49c1b6	ica looligi lideGegi	A comida é deliciosa (a gostosura da comida dela)		$.pages[0].sentences[14]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	lideGegi	N$	1	gostosura del(e|a)		4	l|ide|Ge|gi	Gen|v|Der|Gnr	3|gostar_de|querer|nominalizador|M	|||	|||	IP-MAT[l=0]|NP-PRD[l=1]				
ped-gramm	16	19cc39ce-fe03-4551-8097-9d163a38a3c0	loigipodi libinienigipi	A comunidade dele/dela é bonita		$.pages[0].sentences[15]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	loigipodi	N$	1	sua comunidade		3	l|oigi|podi	Gnr|n|Plu	||	||	||	IP-MAT[l=0]|NP-SBJ[l=1]				
ped-gramm	16	19cc39ce-fe03-4551-8097-9d163a38a3c0	loigipodi libinienigipi	A comunidade dele/dela é bonita		$.pages[0].sentences[15]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	libinienigipi	N$	1	sua beleza		3	l|binienigi|pi	Gnr|n|Plu	||	||	||	IP-MAT[l=0]|NP-PRD[l=1]				
ped-gramm	17	12147353-b422-4ad7-9bef-1d20e70e2a74	ica loigi ijo niganigi ipegitegi GanigotGa	A comunidade do menino é perto da cidade de vocês		$.pages[0].sentences[16]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			1	1	ica	D	2	a		2	i|ca	Gnr|Ncl	masc|ausente	|	|	IP-MAT[l=0]|NP[l=1]|NP[l=2]				
ped-gramm	17	12147353-b422-4ad7-9bef-1d20e70e2a74	ica loigi ijo niganigi ipegitegi GanigotGa	A comunidade do menino é perto da cidade de vocês		$.pages[0].sentences[16]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			2	2	loigi	N$	2	comunidade dele		2	l|oigi	Gen|n	3|comunidade	|	|	IP-MAT[l=0]|NP[l=1]|NP[l=2]				
ped-gramm	17	12147353-b422-4ad7-9bef-1d20e70e2a74	ica loigi ijo niganigi ipegitegi GanigotGa	A comunidade do menino é perto da cidade de vocês		$.pages[0].sentences[16]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			3	3	ijo	D	1	o		2	i|jo	Gnr|Ncl	M|emfrente	|	|	IP-MAT[l=0]|NP[l=1]				
ped-gramm	17	12147353-b422-4ad7-9bef-1d20e70e2a74	ica loigi ijo niganigi ipegitegi GanigotGa	A comunidade do menino é perto da cidade de vocês		$.pages[0].sentences[16]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			4	4	niganigi	N	1	menino		0						IP-MAT[l=0]|NP[l=1]				
ped-gramm	17	12147353-b422-4ad7-9bef-1d20e70e2a74	ica loigi ijo niganigi ipegitegi GanigotGa	A comunidade do menino é perto da cidade de vocês		$.pages[0].sentences[16]	28eeb8a0-d923-4d75-aebe-599aadddfbbb			5	5	ipegitegi	VBAPL	0	fica próxima de		3	i|pegi|tegi	Erg|v|Apl	3|aproximar/ficarperto|3M	||	||	IP-MAT[l=0]				
