split_tag	gloss_br	count
Gen	3	95
Gnr	M	54
Erg	3	46
n	casa	33
Gnr	F	29
Plu	PL	20
Ncl	indo	19
n	beleza	18
v	ficar(permanente)	15
Abs	3	14
v	(ser|estar)_pesad(o|a)	14
v	pesar	13
n	canoa	13
Ncl	sentad(o|a)	13
Apl	3	12
Gnr	masc	12
Pro	1SG	12
Ncl	ausente	11
v	(ser|estar)_quente	11
Gnr	MASC	10
Ncl	deitad(o|a)	10
v	aproximar	9
v	ficar_perto	9
Apl	3M	9
n	mulher	9
n	espírito/fotografia	9
Dim	masc	8
Gen	1s	8
Ncl	em_pé	8
n	preço	8
Erg	1	8
Apl	3F	7
n	comida	7
Cla	cla	7
n	lagoa	6
n	sujeira	6
Ncl	vindo	6
Ncl	emfrente	5
n	rio	5
Gnr	Masc	5
Gen	2	5
Abs	1	5
v	estar_perto	5
n	criança	5
Ncl	deitado	4
n	cidade	4
Gen	1	4
v	estar	4
n	vaca	4
n	palavra	4
n	ovo	4
canoa	n	3
c	COMP	3
Neg	não	3
n	navio	3
Gnr	FEM	3
n	pedra	3
n	leite	3
Plu	1|3	3
Apl	COM	3
n	anzol	3
Ncl	em_frente	3
Pro	1SG.M	3
Sgv	SG	3
v	estar em/ficar em (temporário)	2
n	gostosura	2
Der	nominalizador	2
Apl	com	2
n	filho	2
Dim	F	2
n	marido|esposa	2
Ncl	going	2
n	pé	2
v	(ser|estar)_vermelho	2
v	ficar	2
v	alegrar-se	2
Gnr	Fem	2
Der	Nmlz	2
Gen	3Pos	2
Erg	1SG	2
Apl	aplicativo de 3 pessoa feminino	1
v	quente	1
t	perfectivo/completivo	1
v	gostar_de|querer	1
n	comunidade	1
v	aproximar/ficarperto	1
n	fotografia	1
Ant	retirapossuidor,fotosemdono	1
OBL	2	1
v	está	1
Coll	todos	1
v	(ser|estar)_(duro|caro)	1
vu	(ser|estar)_dur(o|a)	1
c	que	1
v	estarfeliz	1
v	ficarperto	1
Plu	1pl	1
Apl	2M	1
Pro	2	1
v	(ser|estar)_feliz	1
n	peixe[M]	1
v	(ser|estar)_duro	1
Plu	1	1
Apl	2	1
n	filha	1
Pro	1	1
Cla	Fem	1
n	homem	1
Dir	hither	1
v	diminuir	1
Dir	para_fora	1
Tot	totalitativo	1
n	cônjuge	1
v	(ser|estar)_pesado	1
Ncl	deitad(o)(a)	1
n	peixe	1
vu	(ser|estar)_duro	1
Dir	intesificador	1
Abs	1SG	1
Gnr	M??	1
n	beiju	1
