issue_type	path	position	source_file	source_id	source_ordinal	split_form	split_index	text	token_form	token_gloss	token_tag	uid
missing_split_tag	$.pages[0].sentences[2]	4	data/ped-gramm.json	ped-gramm	1	digo	1	ajo niwatece etadi digoida	digoida	nele (cidade/local)	D	49347527-d19d-4689-bff1-ba3e497e7b1f
missing_split_tag	$.pages[0].sentences[2]	4	data/ped-gramm.json	ped-gramm	1	i	2	ajo niwatece etadi digoida	digoida	nele (cidade/local)	D	49347527-d19d-4689-bff1-ba3e497e7b1f
missing_split_tag	$.pages[0].sentences[2]	4	data/ped-gramm.json	ped-gramm	1	da	3	ajo niwatece etadi digoida	digoida	nele (cidade/local)	D	49347527-d19d-4689-bff1-ba3e497e7b1f
missing_split_tag	$.pages[0].sentences[39]	2	data/ped-gramm.json	ped-gramm	1	digo i da	1	iGeladi digoida weiigi .	digoida	nele (cidade/local)	D	10e550d6-df13-4527-8aee-aa23e3f2fcdd
missing_split_tag	$.pages[0].sentences[49]	1	data/ped-gramm.json	ped-gramm	1	VB	1	etee minitaGa	etee	estou	VB	156fa9a4-4323-44f1-9cdc-ef5dc052b428
missing_split_tag	$.pages[0].sentences[52]	1	data/ped-gramm.json	ped-gramm	1	aG	1	aGee eliodi niinikeGegi	aG@	não eu	NEG	3f077b37-aa95-4012-9efb-a21630cdd6e9
missing_split_tag	$.pages[0].sentences[52]	1	data/ped-gramm.json	ped-gramm	1	ee	2	aGee eliodi niinikeGegi	aG@	não eu	NEG	3f077b37-aa95-4012-9efb-a21630cdd6e9
missing_split_tag	$.pages[0].sentences[54]	3	data/ped-gramm.json	ped-gramm	1	l	1	niGidowa waca lotiidi dapikoGo	lotiidi	leite dela	N$	d3e098e5-4edd-4c24-81cf-78ff4a4d398c
missing_split_tag	$.pages[0].sentences[54]	3	data/ped-gramm.json	ped-gramm	1	otiidi	2	niGidowa waca lotiidi dapikoGo	lotiidi	leite dela	N$	d3e098e5-4edd-4c24-81cf-78ff4a4d398c
missing_split_tag	$.pages[0].sentences[56]	5	data/ped-gramm.json	ped-gramm	1	aG	1	etogo aneiwaGadi adakake lojedi .	adakake	não duro	NEG+VB	2c0248b3-8f68-46e9-b41c-9f7807572c87
missing_split_tag	$.pages[0].sentences[57]	2	data/ped-gramm.json	ped-gramm	1	aG	1	etogo adakake lojedi	adakake	não duro	NEG+VB	73ceda1b-be14-4e75-9b1e-2a490d7df366
