source_id	sent_ordinal	sent_uid	sent_text	text_pt_br	visible	path	container_uid	container_id	container_title	token_ordinal	token_p	token_form	token_tag_source	token_level	token_gloss_br	split_obj_json	split_count	split_forms	split_tags	split_glosses_br	split_fns	split_idxs	chunk_memberships	proto_conllu_id	proto_conllu_form	proto_conllu_misc_json	proto_token_range
hil-data	1	fcef38ed-be6b-4f2a-b5cf-fa4db625ecfb	Iwaalo libiniena	A mulher está bonita .		$.pages[0].sentences[0]	ffef8450-e302-4882-8306-e5998d31f584			1	1	Iwaalo	N	1	mulher		2	iwaa|lo	n|Cla	mulher|cla	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
hil-data	1	fcef38ed-be6b-4f2a-b5cf-fa4db625ecfb	Iwaalo libiniena	A mulher está bonita .		$.pages[0].sentences[0]	ffef8450-e302-4882-8306-e5998d31f584			2	2	libiniena	N$	1	beleza		0						IP-MAT[l=0]|NP-PRD[l=1]				
hil-data	2	31d3b4c0-4aab-4538-999b-b8ee85c34444	Iwaalo ninitibeci	A mulher está feliz .		$.pages[0].sentences[1]	ffef8450-e302-4882-8306-e5998d31f584			1	1	Iwaalo	N	1	mulher		2	iwaa|lo	n|Cla	mulher|cla	|	|	IP-MAT[l=0]|NP[l=1]				
hil-data	2	31d3b4c0-4aab-4538-999b-b8ee85c34444	Iwaalo ninitibeci	A mulher está feliz .		$.pages[0].sentences[1]	ffef8450-e302-4882-8306-e5998d31f584			2	2	ninitibeci	VB	0	está feliz		0						IP-MAT[l=0]				
hil-data	3	39f34955-a828-47d7-808d-b3b3565b42d6	LotaGa Ganioxoa libinienaGa	A palavra de seu irmão é bonita .		$.pages[0].sentences[2]	ffef8450-e302-4882-8306-e5998d31f584			1	1	LotaGa	N$	1	palavra del(e|a)		2	l|otaGa	Gen|n	3|palavra	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
hil-data	3	39f34955-a828-47d7-808d-b3b3565b42d6	LotaGa Ganioxoa libinienaGa	A palavra de seu irmão é bonita .		$.pages[0].sentences[2]	ffef8450-e302-4882-8306-e5998d31f584			2	2	Ganioxoa	N$	1	seu irmão		2	Ga|nioxoa	Gnr|n	|	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
hil-data	3	39f34955-a828-47d7-808d-b3b3565b42d6	LotaGa Ganioxoa libinienaGa	A palavra de seu irmão é bonita .		$.pages[0].sentences[2]	ffef8450-e302-4882-8306-e5998d31f584			3	3	libinienaGa	N$	1	bonita		4	l|binie|na|Ga	Gen|n|Dim|Plu	3|beleza||PL	|||	|||	IP-MAT[l=0]|NP-PRD[l=1]				
hil-data	4	d3ae6cfd-bec1-49f3-a0f9-4ca0744e3404	LotaGa Gadodawa libinienaGa	A palavra do seu marido é bonita .		$.pages[0].sentences[3]	ffef8450-e302-4882-8306-e5998d31f584			1	1	LotaGa	N$	1	palavra del(e|a)		2	l|otaGa	Gen|n	3|palavra	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
hil-data	4	d3ae6cfd-bec1-49f3-a0f9-4ca0744e3404	LotaGa Gadodawa libinienaGa	A palavra do seu marido é bonita .		$.pages[0].sentences[3]	ffef8450-e302-4882-8306-e5998d31f584			2	2	Gadodawa	N$	1	seu marido		2	Gad|odawa	Gen|n	2|marido|esposa	|	|	IP-MAT[l=0]|NP-SBJ[l=1]				
hil-data	4	d3ae6cfd-bec1-49f3-a0f9-4ca0744e3404	LotaGa Gadodawa libinienaGa	A palavra do seu marido é bonita .		$.pages[0].sentences[3]	ffef8450-e302-4882-8306-e5998d31f584			3	3	libinienaGa	N$	1	bonita		4	l|binie|na|Ga	Gen|n|Dim|Plu	3|beleza||PL	|||	|||	IP-MAT[l=0]|NP-PRD[l=1]				
