issue_type	path	position	split_form	split_index	text	token_form	token_gloss	token_tag	uid
missing_split_tag	$.pages[0].sentences[9]	1	i	1	ica liGeladi ipegitegi	ica	a	D	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
missing_split_tag	$.pages[0].sentences[9]	1	ca	2	ica liGeladi ipegitegi	ica	a	D	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
missing_split_tag	$.pages[0].sentences[9]	2	l	1	ica liGeladi ipegitegi	liGeladi	sua casa	N$	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
missing_split_tag	$.pages[0].sentences[9]	2	iGeladi	2	ica liGeladi ipegitegi	liGeladi	sua casa	N$	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
missing_split_tag	$.pages[0].sentences[9]	3	i	1	ica liGeladi ipegitegi	ipegitegi	fica perto de	VBAPL	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
missing_split_tag	$.pages[0].sentences[9]	3	pegi	2	ica liGeladi ipegitegi	ipegitegi	fica perto de	VBAPL	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
missing_split_tag	$.pages[0].sentences[9]	3	tegi	3	ica liGeladi ipegitegi	ipegitegi	fica perto de	VBAPL	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
missing_split_tag	$.pages[0].sentences[36]	2	aG	1	iGeladi aGipegitegi weigi	aG@		NEG	1da1bf7a-7975-4baf-821b-9df5c75ac297
missing_split_tag	$.pages[0].sentences[36]	2	i	2	iGeladi aGipegitegi weigi	aG@		NEG	1da1bf7a-7975-4baf-821b-9df5c75ac297
missing_split_tag	$.pages[0].sentences[36]	2	pegi	3	iGeladi aGipegitegi weigi	aG@		NEG	1da1bf7a-7975-4baf-821b-9df5c75ac297
missing_split_tag	$.pages[0].sentences[36]	2	tegi	4	iGeladi aGipegitegi weigi	aG@		NEG	1da1bf7a-7975-4baf-821b-9df5c75ac297
