host_token	issue_type	known_glosses_elsewhere	morpheme_form	source_file	source_id	split_index	text	uid
ajo	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/ped-gramm.json	ped-gramm	1	ajo niwatece ipegitege weiigi	1b99ecb9-5656-4c38-b60b-fbbe643708fb
naGajo	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/ped-gramm.json	ped-gramm	2	iGeladi idei mijo naigi naGajo	7b810df7-6ed0-4027-b2fe-72c64e9ca1dc
me@	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/hil-data.json	hil-data	2	NaGajo lomigo Pedilo idei madi niwatece	559ba85f-edfc-48dc-9bfb-0c3f8e5ad887
NaGajo	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/hil-data.json	hil-data	2	NaGajo lomigo niganigawanigi madi niwatece	92838eda-ef9b-4f05-a5eb-38a4709c0337
me@	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/hil-data.json	hil-data	2	NaGajo lomigo niganigawanigi madi niwatece	92838eda-ef9b-4f05-a5eb-38a4709c0337
niGijoa	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/hil-data.json	hil-data	4	niGijoa lionaGa iwaalo idei mijotaGa	0de3d311-348a-4107-a191-9fc3f960c249
me@	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/hil-data.json	hil-data	2	dibixodi ideiticoaci maditaGa	4e9130da-80fd-4ac2-8665-956c95b299e2
naGada	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/hil-data.json	hil-data	2	ninitibeci naGada	8f297896-5ee6-461f-86e3-0d4d4ef5a661
naGada	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/hil-data.json	hil-data	2	naGada iwaGadi	d489d970-e6b1-42e3-add2-2221f2fb1fad
me@	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/van-data.json	van-data	2	niGijo nigaanigawaanigi manitaGa lomigo niwatece	235440ba-548e-4df6-8d9e-214cc8714f8f
me@	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/van-data.json	van-data	2	Eyo manitaGa nigotaGa	d021bede-064b-4fd5-bb33-6c7cd4279c1b
niGijoa	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/van-data.json	van-data	4	niGijoa lionigipi iwaalo idei minitaGa	e5c65dad-8b04-46da-b965-4921887cbca4
me@	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/van-data.json	van-data	2	dibixodi idei manitaGa	8c5dd09c-d010-4c48-9601-9d3b14c61119
me@	missing_split_gloss_but_known_for_same_morpheme	"[""F"", ""FEM"", ""Fem""]"	a	data/van-data.json	van-data	2	etee manitaGa	e7f4ab65-14d7-44f5-a197-c99c4ab173cd
ajo	missing_split_gloss_but_known_for_same_morpheme	"[""em_frente"", ""emfrente"", ""indo""]"	jo	data/ped-gramm.json	ped-gramm	2	ajo niwatece etadi digoida	49347527-d19d-4689-bff1-ba3e497e7b1f
ajo	missing_split_gloss_but_known_for_same_morpheme	"[""em_frente"", ""emfrente"", ""indo""]"	jo	data/ped-gramm.json	ped-gramm	2	ajo niwatece ipegitege weiigi	1b99ecb9-5656-4c38-b60b-fbbe643708fb
naGajo	missing_split_gloss_but_known_for_same_morpheme	"[""em_frente"", ""emfrente"", ""indo""]"	jo	data/ped-gramm.json	ped-gramm	3	iGeladi idei mijo naigi naGajo	7b810df7-6ed0-4027-b2fe-72c64e9ca1dc
NiGijo	missing_split_gloss_but_known_for_same_morpheme	"[""em_frente"", ""emfrente"", ""indo""]"	jo	data/hil-data.json	hil-data	3	NiGijo liwenigi libinienigi	cf44903e-0c33-44bc-a146-1fb8a4ccb973
NaGajo	missing_split_gloss_but_known_for_same_morpheme	"[""em_frente"", ""emfrente"", ""indo""]"	jo	data/hil-data.json	hil-data	3	NaGajo lomigo niganigawanigi madi niwatece	92838eda-ef9b-4f05-a5eb-38a4709c0337
niGijo	missing_split_gloss_but_known_for_same_morpheme	"[""em_frente"", ""emfrente"", ""indo""]"	jo	data/van-data.json	van-data	3	niGijo nigaanigawaanigi manitaGa lomigo niwatece	235440ba-548e-4df6-8d9e-214cc8714f8f
looligi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/ped-gramm.json	ped-gramm	1	ica looligi lidi	070d221f-f72d-4055-9c82-ddc383743e6a
lidi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/ped-gramm.json	ped-gramm	1	ica looligi lidi	070d221f-f72d-4055-9c82-ddc383743e6a
looligi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/ped-gramm.json	ped-gramm	1	ica looligi dapico	68277d1f-c30b-4c4f-ba9e-c2883cc133af
looligi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/ped-gramm.json	ped-gramm	1	ica looligi ja dapico	5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5
loigipodi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/ped-gramm.json	ped-gramm	1	loigipodi libinienigipi	19cc39ce-fe03-4551-8097-9d163a38a3c0
libinienigipi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/ped-gramm.json	ped-gramm	1	loigipodi libinienigipi	19cc39ce-fe03-4551-8097-9d163a38a3c0
libinienigi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/ped-gramm.json	ped-gramm	1	ica liwigo libinienigi	0f478381-6858-463d-94cc-903e9dc879f9
libinienigi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/ped-gramm.json	ped-gramm	1	ica niwigo libinienigi	55551636-8ed3-4545-8510-d8dbfd817a1a
libinienigi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/ped-gramm.json	ped-gramm	1	ica nioladi nioxoa libinienigi	881131dd-3f70-411a-ac7e-85557139d1e3
libinienigi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/ped-gramm.json	ped-gramm	1	ica nioladi lodawa libinienigi	95a7d135-4be0-463d-b443-76cc5828fc89
lotiidi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/ped-gramm.json	ped-gramm	1	niGidowa waca lotiidi dapikoGo	d3e098e5-4edd-4c24-81cf-78ff4a4d398c
lojedi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/ped-gramm.json	ped-gramm	1	etogo adakake lojedi	73ceda1b-be14-4e75-9b1e-2a490d7df366
lojedi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/hil-data.json	hil-data	1	Etogo aneiwaGadi adakake lojedi	e349508c-4d86-48b8-9918-057988755e77
libinienigi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/hil-data.json	hil-data	1	Gawenigi eliodi me libinienigi	435e4b10-ab78-4ee3-84b0-7773dbe10bf7
libinienigi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/hil-data.json	hil-data	1	NiGijo liwenigi libinienigi	cf44903e-0c33-44bc-a146-1fb8a4ccb973
lionaGa	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/hil-data.json	hil-data	1	niGijoa lionaGa iwaalo idei mijotaGa	0de3d311-348a-4107-a191-9fc3f960c249
lodajo	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/hil-data.json	hil-data	1	NiGida lodajo lodawa aidei dineigi	3a27c7c6-ecd6-45c0-a71e-b4aa2a242a3d
libinienigi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/hil-data.json	hil-data	1	liwigo niganigawanigi libinienigi	64f2c803-b436-4202-b4c7-acf5c7205bc3
lixagotaGaGa	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/hil-data.json	hil-data	1	Nigidiwa noGojedi lixagotaGaGa adakake lojedi	83fdcd4c-338f-4a9f-8545-da8539e67e9d
lojedi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/hil-data.json	hil-data	1	Nigidiwa noGojedi lixagotaGaGa adakake lojedi	83fdcd4c-338f-4a9f-8545-da8539e67e9d
lojetedi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/van-data.json	van-data	1	niwatece iwaGadi noxilece lojetedi	947061b4-7b73-4612-8aa8-0af0e04cbc85
liwaGatena	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/van-data.json	van-data	1	niwatece liwaGatena lodejedi etidi weiigi	2c026af9-b8a1-4389-b658-00113b070dee
libinienigi	missing_split_gloss_but_known_for_same_morpheme	"[""3"", ""3Pos""]"	l	data/van-data.json	van-data	1	ijo niwigo libinienigi ijowa nigetedi	a2910ce3-a0d2-4eac-bcc3-2da15db88b90
