expected_from_text	expected_from_uid	expected_split_forms	expected_split_tags	issue_type	text	token_form	token_tag	uid
ajo liwatece etadi weiigi	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	"[""weiigi""]"	"[""n""]"	token_without_splits_but_analyzed_elsewhere	niwatece etadi weiigi	weiigi	N	b2e3ea43-0d68-46ee-9f33-938610cc8aec
ajo liwatece etadi weiigi	ccb5ea37-b3ba-47a9-8d71-224f599ea7be	"[""weiigi""]"	"[""n""]"	token_without_splits_but_analyzed_elsewhere	ajo niwatece ipegitege weiigi	weiigi	N	1b99ecb9-5656-4c38-b60b-fbbe643708fb
ica nioladi Ganixoa	5d0b94bf-223d-4f09-8c6f-b951a70d6d0b	"[""n"", ""ioladi""]"	"[""Ant"", ""n""]"	token_without_splits_but_analyzed_elsewhere	ica nioladi nioxoa libinienigi	nioladi	N$	881131dd-3f70-411a-ac7e-85557139d1e3
ica nioladi Ganixoa	5d0b94bf-223d-4f09-8c6f-b951a70d6d0b	"[""n"", ""ioladi""]"	"[""Ant"", ""n""]"	token_without_splits_but_analyzed_elsewhere	ica nioladi lodawa libinienigi	nioladi	N$	95a7d135-4be0-463d-b443-76cc5828fc89
iGeladi idei naigi me napioi	a4d33655-fe74-4df2-8d5e-b3c88fba5fd1	"[""i"", ""Geladi""]"	"[""Gen"", ""n""]"	token_without_splits_but_analyzed_elsewhere	iGeladi idei naigi anenapioi	iGeladi	N$	2f47b402-9fe7-4714-96e3-c6cbdf405472
iGeladi idei naigi me napioi	a4d33655-fe74-4df2-8d5e-b3c88fba5fd1	"[""i"", ""Geladi""]"	"[""Gen"", ""n""]"	token_without_splits_but_analyzed_elsewhere	iGeladi idei digoida	iGeladi	N$	a4ccc755-a644-4b04-ab1b-698e7acea4cc
iGeladi idei naigi me napioi	a4d33655-fe74-4df2-8d5e-b3c88fba5fd1	"[""i"", ""Geladi""]"	"[""Gen"", ""n""]"	token_without_splits_but_analyzed_elsewhere	iGeladi ipegitaGagi	iGeladi	N$	82117289-be52-45d0-886d-a5747eb20ea2
iGeladi idei naigi me napioi	a4d33655-fe74-4df2-8d5e-b3c88fba5fd1	"[""i"", ""Geladi""]"	"[""Gen"", ""n""]"	token_without_splits_but_analyzed_elsewhere	iGeladi ipegitegi liGeladi	iGeladi	N$	50f93fbc-14fa-48e7-b8ba-22f744109348
iGeladi idei naigi me napioi	a4d33655-fe74-4df2-8d5e-b3c88fba5fd1	"[""i"", ""Geladi""]"	"[""Gen"", ""n""]"	token_without_splits_but_analyzed_elsewhere	iGeladi ipegitegi naigi ane napioi	iGeladi	N$	014fefb1-d5e3-48c8-9ac3-9e713a41407f
iGeladi idei naigi me napioi	a4d33655-fe74-4df2-8d5e-b3c88fba5fd1	"[""i"", ""Geladi""]"	"[""Gen"", ""n""]"	token_without_splits_but_analyzed_elsewhere	iGeladi ipegitegi naigi me napioi	iGeladi	N$	bb8018ba-76b3-43f2-82ea-78b6009c1f90
iGeladi idei naigi me napioi	a4d33655-fe74-4df2-8d5e-b3c88fba5fd1	"[""i"", ""Geladi""]"	"[""Gen"", ""n""]"	token_without_splits_but_analyzed_elsewhere	iGeladi aGipegitegi weiigi	iGeladi	N$	1da1bf7a-7975-4baf-821b-9df5c75ac297
